HYEAR,classification,harv.month,Variable,Value
1963,NE,April,TMAXA,28.7
1963,NE,April,TMINA,17.6
1963,NE,April,SRADA,19
1963,NE,April,PRCP,1653.1
1964,EN,April,TMAXA,29.9
1964,EN,April,TMINA,18.4
1964,EN,April,SRADA,18.3
1964,EN,April,PRCP,1460.4
1965,LA,April,TMAXA,27.8
1965,LA,April,TMINA,17.6
1965,LA,April,SRADA,18.1
1965,LA,April,PRCP,1726.5
1966,EN,April,TMAXA,29
1966,EN,April,TMINA,18.2
1966,EN,April,SRADA,18.5
1966,EN,April,PRCP,1733.5
1967,NE,April,TMAXA,29
1967,NE,April,TMINA,18
1967,NE,April,SRADA,18.8
1967,NE,April,PRCP,1515.4
1968,NE,April,TMAXA,28.9
1968,NE,April,TMINA,18.2
1968,NE,April,SRADA,18.5
1968,NE,April,PRCP,1395.4
1969,EN,April,TMAXA,28.6
1969,EN,April,TMINA,17.6
1969,EN,April,SRADA,19.6
1969,EN,April,PRCP,1158.8
1970,EN,April,TMAXA,29.3
1970,EN,April,TMINA,18.3
1970,EN,April,SRADA,18.9
1970,EN,April,PRCP,1341.2
1971,LA,April,TMAXA,29.5
1971,LA,April,TMINA,18.3
1971,LA,April,SRADA,19.8
1971,LA,April,PRCP,906.9
1972,LA,April,TMAXA,28.6
1972,LA,April,TMINA,17.9
1972,LA,April,SRADA,18.4
1972,LA,April,PRCP,1504
1973,EN,April,TMAXA,29.6
1973,EN,April,TMINA,18.5
1973,EN,April,SRADA,18.9
1973,EN,April,PRCP,1655
1974,LA,April,TMAXA,29.6
1974,LA,April,TMINA,18.5
1974,LA,April,SRADA,18.3
1974,LA,April,PRCP,1332
1975,LA,April,TMAXA,29.4
1975,LA,April,TMINA,18.1
1975,LA,April,SRADA,19.2
1975,LA,April,PRCP,1252.7
1976,LA,April,TMAXA,29.3
1976,LA,April,TMINA,17.7
1976,LA,April,SRADA,19
1976,LA,April,PRCP,1152.3
1977,EN,April,TMAXA,29.1
1977,EN,April,TMINA,17.9
1977,EN,April,SRADA,18.2
1977,EN,April,PRCP,1369
1978,NE,April,TMAXA,29.4
1978,NE,April,TMINA,16.8
1978,NE,April,SRADA,18
1978,NE,April,PRCP,1486.1
1979,NE,April,TMAXA,28.9
1979,NE,April,TMINA,16.9
1979,NE,April,SRADA,17.3
1979,NE,April,PRCP,1528.7
1980,NE,April,TMAXA,29.3
1980,NE,April,TMINA,17.2
1980,NE,April,SRADA,17.4
1980,NE,April,PRCP,1590.6
1981,NE,April,TMAXA,30
1981,NE,April,TMINA,17.4
1981,NE,April,SRADA,17.9
1981,NE,April,PRCP,1106.6
1982,NE,April,TMAXA,28.7
1982,NE,April,TMINA,17
1982,NE,April,SRADA,17.4
1982,NE,April,PRCP,1608.3
1983,EN,April,TMAXA,29.2
1983,EN,April,TMINA,17.5
1983,EN,April,SRADA,16.7
1983,EN,April,PRCP,1679.7
1984,LA,April,TMAXA,29.5
1984,LA,April,TMINA,17.1
1984,LA,April,SRADA,17.4
1984,LA,April,PRCP,1423
1985,LA,April,TMAXA,29.7
1985,LA,April,TMINA,17.8
1985,LA,April,SRADA,17.9
1985,LA,April,PRCP,1482.2
1986,NE,April,TMAXA,29.6
1986,NE,April,TMINA,18
1986,NE,April,SRADA,18.7
1986,NE,April,PRCP,1310.1
1987,EN,April,TMAXA,29.5
1987,EN,April,TMINA,17.6
1987,EN,April,SRADA,18.1
1987,EN,April,PRCP,1350.5
1988,EN,April,TMAXA,30.1
1988,EN,April,TMINA,19.1
1988,EN,April,SRADA,17.9
1988,EN,April,PRCP,1451.2
1989,LA,April,TMAXA,29.5
1989,LA,April,TMINA,18
1989,LA,April,SRADA,18.8
1989,LA,April,PRCP,1286.8
1990,NE,April,TMAXA,29.4
1990,NE,April,TMINA,18.1
1990,NE,April,SRADA,18.2
1990,NE,April,PRCP,1674
1991,NE,April,TMAXA,29.4
1991,NE,April,TMINA,18.3
1991,NE,April,SRADA,18
1991,NE,April,PRCP,1561.1
1992,EN,April,TMAXA,29.4
1992,EN,April,TMINA,18
1992,EN,April,SRADA,17.7
1992,EN,April,PRCP,1584.7
1993,NE,April,TMAXA,29.5
1993,NE,April,TMINA,18.1
1993,NE,April,SRADA,17.5
1993,NE,April,PRCP,1494.4
1994,NE,April,TMAXA,30.2
1994,NE,April,TMINA,18
1994,NE,April,SRADA,18
1994,NE,April,PRCP,1714
1995,EN,April,TMAXA,30.9
1995,EN,April,TMINA,17.7
1995,EN,April,SRADA,18.5
1995,EN,April,PRCP,1466.8
1996,LA,April,TMAXA,30
1996,LA,April,TMINA,18.8
1996,LA,April,SRADA,18.3
1996,LA,April,PRCP,1351.3
1997,NE,April,TMAXA,29.5
1997,NE,April,TMINA,18.1
1997,NE,April,SRADA,18
1997,NE,April,PRCP,1477
1998,EN,April,TMAXA,30.3
1998,EN,April,TMINA,18.6
1998,EN,April,SRADA,18.5
1998,EN,April,PRCP,1531.1
1999,LA,April,TMAXA,30.5
1999,LA,April,TMINA,18.7
1999,LA,April,SRADA,18.2
1999,LA,April,PRCP,1387
