HYEAR,classification,harv.month,Variable,Value
1963,NE,April,TMAXA,31.7
1963,NE,April,TMINA,17.9
1963,NE,April,SRADA,18.1
1963,NE,April,PRCP,1826.2
1964,EN,April,TMAXA,32.6
1964,EN,April,TMINA,17.6
1964,EN,April,SRADA,18.7
1964,EN,April,PRCP,1399.3
1965,LA,April,TMAXA,31.8
1965,LA,April,TMINA,17.6
1965,LA,April,SRADA,18.3
1965,LA,April,PRCP,1803
1966,EN,April,TMAXA,32.7
1966,EN,April,TMINA,17.9
1966,EN,April,SRADA,18.7
1966,EN,April,PRCP,1887.1
1967,NE,April,TMAXA,32.2
1967,NE,April,TMINA,18.8
1967,NE,April,SRADA,18.9
1967,NE,April,PRCP,1432.9
1968,NE,April,TMAXA,31.9
1968,NE,April,TMINA,18.9
1968,NE,April,SRADA,19.3
1968,NE,April,PRCP,1537.5
1969,EN,April,TMAXA,31.6
1969,EN,April,TMINA,18.7
1969,EN,April,SRADA,19.3
1969,EN,April,PRCP,1632.3
1970,EN,April,TMAXA,32
1970,EN,April,TMINA,19.6
1970,EN,April,SRADA,18.9
1970,EN,April,PRCP,1627.4
1971,LA,April,TMAXA,32.2
1971,LA,April,TMINA,18.8
1971,LA,April,SRADA,19.1
1971,LA,April,PRCP,1564.6
1972,LA,April,TMAXA,31.1
1972,LA,April,TMINA,18.4
1972,LA,April,SRADA,17.6
1972,LA,April,PRCP,1808.2
1973,EN,April,TMAXA,32
1973,EN,April,TMINA,18.9
1973,EN,April,SRADA,18.3
1973,EN,April,PRCP,2056.8
1974,LA,April,TMAXA,30.9
1974,LA,April,TMINA,19
1974,LA,April,SRADA,17.8
1974,LA,April,PRCP,1889.2
1975,LA,April,TMAXA,29.5
1975,LA,April,TMINA,19.7
1975,LA,April,SRADA,17.9
1975,LA,April,PRCP,1765.6
1976,LA,April,TMAXA,31.8
1976,LA,April,TMINA,17.9
1976,LA,April,SRADA,17.4
1976,LA,April,PRCP,2107.5
1977,EN,April,TMAXA,31.3
1977,EN,April,TMINA,14.6
1977,EN,April,SRADA,17.8
1977,EN,April,PRCP,1614.2
1978,NE,April,TMAXA,31.1
1978,NE,April,TMINA,17.8
1978,NE,April,SRADA,16.8
1978,NE,April,PRCP,2181.7
1979,NE,April,TMAXA,30.9
1979,NE,April,TMINA,18.8
1979,NE,April,SRADA,16.6
1979,NE,April,PRCP,2095.4
1980,NE,April,TMAXA,31.7
1980,NE,April,TMINA,18.6
1980,NE,April,SRADA,16.2
1980,NE,April,PRCP,2132.2
1981,NE,April,TMAXA,31.7
1981,NE,April,TMINA,18.1
1981,NE,April,SRADA,15.6
1981,NE,April,PRCP,1833.5
1982,NE,April,TMAXA,31.1
1982,NE,April,TMINA,20.2
1982,NE,April,SRADA,15.4
1982,NE,April,PRCP,1912.7
