HYEAR,classification,harv.month,Variable,Value
1963,NE,April,TMAXA,29.6
1963,NE,April,TMINA,16.1
1963,NE,April,SRADA,18.3
1963,NE,April,PRCP,1268.5
1964,EN,April,TMAXA,31.6
1964,EN,April,TMINA,17
1964,EN,April,SRADA,17.9
1964,EN,April,PRCP,1154.6
1965,LA,April,TMAXA,29.6
1965,LA,April,TMINA,15.8
1965,LA,April,SRADA,17.6
1965,LA,April,PRCP,1241.7
1966,EN,April,TMAXA,30.4
1966,EN,April,TMINA,16.9
1966,EN,April,SRADA,18.1
1966,EN,April,PRCP,1259.5
1967,NE,April,TMAXA,29.6
1967,NE,April,TMINA,16.4
1967,NE,April,SRADA,18.3
1967,NE,April,PRCP,1249.7
1968,NE,April,TMAXA,29.7
1968,NE,April,TMINA,16.7
1968,NE,April,SRADA,18.4
1968,NE,April,PRCP,1081.1
1969,EN,April,TMAXA,29.2
1969,EN,April,TMINA,16.5
1969,EN,April,SRADA,19.1
1969,EN,April,PRCP,1089.2
1970,EN,April,TMAXA,29.2
1970,EN,April,TMINA,16.1
1970,EN,April,SRADA,18.3
1970,EN,April,PRCP,1275.3
1971,LA,April,TMAXA,29.5
1971,LA,April,TMINA,17.1
1971,LA,April,SRADA,19.2
1971,LA,April,PRCP,1251.4
1972,LA,April,TMAXA,28.4
1972,LA,April,TMINA,17.4
1972,LA,April,SRADA,18
1972,LA,April,PRCP,1504.1
1973,EN,April,TMAXA,28.9
1973,EN,April,TMINA,18.2
1973,EN,April,SRADA,18.2
1973,EN,April,PRCP,1603.2
1974,LA,April,TMAXA,28.6
1974,LA,April,TMINA,17.5
1974,LA,April,SRADA,17.7
1974,LA,April,PRCP,1539.7
1975,LA,April,TMAXA,28.7
1975,LA,April,TMINA,17.3
1975,LA,April,SRADA,18.6
1975,LA,April,PRCP,1279.3
1976,LA,April,TMAXA,29.2
1976,LA,April,TMINA,17.8
1976,LA,April,SRADA,18.5
1976,LA,April,PRCP,1367.3
1977,EN,April,TMAXA,28.3
1977,EN,April,TMINA,17.5
1977,EN,April,SRADA,18
1977,EN,April,PRCP,1493.6
1978,NE,April,TMAXA,29.8
1978,NE,April,TMINA,18.6
1978,NE,April,SRADA,18.2
1978,NE,April,PRCP,1233.1
1979,NE,April,TMAXA,29.1
1979,NE,April,TMINA,17.5
1979,NE,April,SRADA,18.6
1979,NE,April,PRCP,990.7
1980,NE,April,TMAXA,28.5
1980,NE,April,TMINA,18
1980,NE,April,SRADA,17.5
1980,NE,April,PRCP,1596.8
1981,NE,April,TMAXA,29.2
1981,NE,April,TMINA,18.4
1981,NE,April,SRADA,17.9
1981,NE,April,PRCP,1040.8
1982,NE,April,TMAXA,28.7
1982,NE,April,TMINA,18
1982,NE,April,SRADA,17.7
1982,NE,April,PRCP,1200.7
1983,EN,April,TMAXA,28.7
1983,EN,April,TMINA,18.6
1983,EN,April,SRADA,17.5
1983,EN,April,PRCP,1524.3
