YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
1963,April,N,148.24349999999998,119.53559515256994,17.720375
1964,April,EN,129.163625,114.76625094719972,14.823625
1965,April,LA,141.933875,129.41677946860818,18.368625
1966,April,EN,151.82600000000002,123.92722590333669,18.815375
1967,April,N,150.971625,126.04272491602313,19.028875
1968,April,N,148.9155,127.5538812279447,18.99475
1969,April,EN,143.105,114.31903148038155,16.359625
1970,April,EN,145.531375,122.66169408486658,17.851125
1971,April,LA,144.716,119.88999143149337,17.349999999999998
1972,April,LA,145.408875,125.9250853842312,18.310625
1973,April,EN,151.585125,117.49751171165376,17.810875
1974,April,LA,146.02825,124.51529070573672,18.18275
1975,April,LA,144.4525,121.9968501756633,17.62275
1976,April,LA,144.29625,125.0266379063905,18.040875
1977,April,EN,149.0815,122.98306630936769,18.3345
1978,April,N,151.616125,123.65686697242789,18.748375
1979,April,N,145.772625,128.17735840319813,18.68475
1980,April,N,143.22975,120.74743550135359,17.294625
1981,April,N,148.3445,125.14703949253257,18.564875
1982,April,N,138.067,124.22139251233097,17.150875
1983,April,EN,143.0145,123.47786413265788,17.659125
1984,April,LA,151.04975,121.14220645846817,18.2985
1985,April,LA,144.51675,120.8147152492704,17.45975
1986,April,N,141.428875,112.22160255464097,15.871374999999999
1987,April,EN,143.899375,118.11204878408958,16.99625
1988,April,EN,144.88675,119.48556372477124,17.311875
1989,April,LA,132.126875,115.45153096219067,15.254249999999999
1990,April,N,147.86225000000002,116.36083584552513,17.205375
1991,April,N,141.517625,119.65205747340657,16.932875
1992,April,EN,137.239,120.75557968216032,16.572375
1993,April,N,147.01675,119.8996032764974,17.62725
1994,April,N,146.456625,122.29388735402034,17.91075
1995,April,EN,141.565625,119.44813580274165,16.90975
1996,April,LA,149.314125,110.90712281909032,16.560000000000002
1997,April,N,143.8495,124.23053260525758,17.8705
1998,April,EN,142.321125,104.19658360626366,14.829375
1999,April,LA,152.369375,114.80079248208507,17.492125
2000,April,LA,138.142375,117.20788063763926,16.191375
2001,April,LA,155.102,118.98782736521773,18.45525
2002,April,N,151.206125,115.22598704252226,17.422875
2003,April,EN,142.53275,115.06478335680748,16.4005
2004,April,N,143.14724999999999,118.76057695834186,17.00025
2005,April,EN,144.35649999999998,110.26001600205049,15.91675
2006,April,N,143.252,115.99314494736548,16.61625
2007,April,N,148.901625,111.42675575232977,16.591625
2008,April,LA,136.765125,117.45775832837501,16.064125
2009,April,LA,138.7985,115.70009762353342,16.059
2010,April,EN,152.274125,116.3017682748136,17.70975
2011,April,LA,143.35375,117.64516100904233,16.864875
2012,April,LA,146.54925,118.71606303000527,17.39775
2013,April,N,143.73624999999998,111.24803242049241,15.990375
2014,April,N,147.939875,114.97491801990505,17.009375
2015,April,N,148.26425,118.7643009019369,17.6085
2016,April,EN,148.722,106.45869474590174,15.83275
2017,April,N,150.792,117.59493209188817,17.732375
2018,April,N,142.716375,112.75423019958292,16.091875
2019,April,EN,152.645375,114.55882629919181,17.486874999999998
1963,May,N,146.94475,129.04510028429053,18.9625
1964,May,EN,142.07875,124.70812841469959,17.718375
1965,May,LA,142.5785,130.84897091777512,18.65625
1966,May,EN,150.821625,128.0179483545546,19.307875
1967,May,N,151.779,135.7491813755526,20.603875
1968,May,N,153.375,135.6707416462918,20.808500000000002
1969,May,EN,145.668875,124.38913254461531,18.119625
1970,May,EN,150.123125,131.6885722969063,19.7695
1971,May,LA,145.88575,126.98807114471427,18.52575
1972,May,LA,143.199875,133.51792381103687,19.11975
1973,May,EN,148.41125,120.75988174750904,17.922125
1974,May,LA,147.135875,133.5738140001546,19.6535
1975,May,LA,147.914875,131.68300348426757,19.477875
1976,May,LA,147.576125,134.19599545658215,19.804125
1977,May,N,144.814125,129.29246370131366,18.723375
1978,May,N,151.752,133.5756695134166,20.270375
1979,May,N,143.849875,131.67720861766477,18.94175
1980,May,N,142.08825,129.29552584397373,18.371375
1981,May,N,150.63625,133.03404724958304,20.03975
1982,May,N,141.995875,134.99775961801706,19.169125
1983,May,EN,142.138375,127.5922142771085,18.13575
1984,May,N,149.5735,126.24311793198662,18.882625
1985,May,LA,144.052875,129.71192001548042,18.685375
1986,May,N,147.660875,123.4619529377704,18.2305
1987,May,EN,143.44575,123.83775747974408,17.764
1988,May,EN,147.088875,126.11167907838033,18.549625
1989,May,LA,138.327375,125.09273742814827,17.30375
1990,May,N,145.473875,123.36923038586826,17.947
1991,May,N,140.731875,129.78225437556347,18.2645
1992,May,EN,139.379875,126.93905773699396,17.69275
1993,May,N,147.8835,126.9825572156461,18.778625
1994,May,N,148.337625,126.44886959731221,18.757125
1995,May,EN,144.28375,125.24712588909007,18.071125
1996,May,LA,152.207375,123.43275087688752,18.787375
1997,May,N,143.789,131.88161124981744,18.963125
1998,May,EN,146.489125,113.49135985350448,16.62525
1999,May,LA,151.535,123.42940574784703,18.703875
2000,May,LA,144.4485,127.43382589642675,18.407625
2001,May,LA,155.29975,126.28320393303918,19.61175
2002,May,N,150.60750000000002,119.67033514267216,18.02325
2003,May,EN,147.063,124.08117609459892,18.24775
2004,May,N,142.702,122.04454037084274,17.416
2005,May,EN,147.204625,118.95940769524056,17.511375
2006,May,N,147.047875,128.0654344715964,18.83175
2007,May,N,150.367,119.784427434211,18.011625000000002
2008,May,LA,137.911,125.23928475611082,17.271875
2009,May,LA,144.321625,127.73466900750317,18.434874999999998
2010,May,EN,151.434125,120.21894008368325,18.20525
2011,May,LA,145.445125,128.30440346488066,18.66125
2012,May,LA,146.693375,122.97164067566105,18.039125
2013,May,N,147.059375,125.97717758558406,18.526125
2014,May,N,147.46912500000002,124.80493798278113,18.404875
2015,May,EN,148.703,123.62981916975447,18.384125
2016,May,EN,150.358125,114.05851862012777,17.149625
2017,May,N,151.127,126.02562745240758,19.045875
2018,May,LA,146.550625,122.74597941837506,17.9885
2019,May,EN,149.367875,118.08010926044172,17.637375
1963,June,N,138.2505,129.0845241066036,17.846
1964,June,EN,150.955875,133.9124760795166,20.214875
1965,June,LA,139.608875,136.442794199151,19.048625
1966,June,EN,147.9525,135.08642976631018,19.986375000000002
1967,June,N,149.189875,138.2349170813368,20.62325
1968,June,N,151.40925,139.8304594996673,21.171625
1969,June,EN,145.23125,127.48375435727505,18.514625
1970,June,N,150.679375,134.09018321186957,20.204625
1971,June,LA,142.13774999999998,130.55820849844608,18.55725
1972,June,LA,143.104625,136.8037545956324,19.57725
1973,June,EN,145.262,128.71483939364734,18.697375
1974,June,LA,143.382625,136.27610039919412,19.539625
1975,June,LA,145.061375,136.90842927691813,19.860125
1976,June,LA,146.30275,137.03689780267288,20.048875
1977,June,N,137.787125,132.32096249921753,18.232125
1978,June,N,148.19125,135.21631675284473,20.037875
1979,June,N,140.89525,135.94141747149035,19.1535
1980,June,N,141.068375,134.5694951118562,18.9835
1981,June,N,144.27425,136.14435701450537,19.642125
1982,June,N,141.41225,136.1453834445036,19.252625000000002
1983,June,EN,138.181375,128.43355336419253,17.747125
1984,June,N,147.793625,133.0157170175642,19.658875000000002
1985,June,LA,140.0795,134.76186736817309,18.877375
1986,June,N,147.01025,131.12265981453672,19.276375
1987,June,EN,138.47375,128.29507397611462,17.7655
1988,June,EN,142.521,130.59742073098002,18.612875
1989,June,LA,140.272625,133.57381741448125,18.73675
1990,June,N,141.54475,130.43224845852637,18.462
1991,June,N,139.934125,137.36552824409344,19.222125
1992,June,EN,141.886625,134.0163317014553,19.015125
1993,June,N,143.863875,132.07624221160455,19.001
1994,June,N,146.881125,132.00981405881797,19.38975
1995,June,EN,146.29125,133.68964309211933,19.557625
1996,June,LA,152.8535,130.7477421190879,19.98525
1997,June,N,140.37,134.96829806938806,18.9455
1998,June,EN,148.81,120.99909280290304,18.005875
1999,June,LA,147.973125,127.29085095688828,18.835625
2000,June,LA,146.459,134.2602707925085,19.663625
2001,June,LA,151.95162499999998,132.84244245495896,20.185625
2002,June,N,148.483,124.62790353104396,18.505125
2003,June,EN,148.177,131.4601793800657,19.479374999999997
2004,June,N,141.98025,128.06534711694056,18.18275
2005,June,EN,146.12875,123.5434505530226,18.05325
2006,June,N,148.5615,135.58610407137786,20.142875
2007,June,N,147.96937499999999,123.9673750058078,18.343375
2008,June,LA,142.1155,133.32817321122607,18.948
2009,June,N,145.675125,133.2365426149454,19.40925
2010,June,EN,147.58225000000002,125.38431959127875,18.5045
2011,June,LA,150.029875,137.3859706275167,20.612000000000002
2012,June,LA,146.01487500000002,127.99723315860797,18.6895
2013,June,N,145.5865,131.07242086319818,19.082375
2014,June,N,147.519875,130.7637360728512,19.29025
2015,June,EN,150.222625,130.89739311904583,19.66375
2016,June,EN,147.56925,117.10942489712455,17.28175
2017,June,N,148.371625,129.54549092523587,19.220875
2018,June,LA,145.197875,126.36032035592807,18.34725
2019,June,EN,152.384,127.33128149937002,19.40325
1963,July,N,128.7635,127.7419455047432,16.4485
1964,July,EN,152.10287499999998,137.29934427603686,20.883625
1965,July,LA,134.4475,136.50216627308058,18.352375
1966,July,EN,144.21525,138.27421163850565,19.94125
1967,July,N,145.292125,141.69556677624476,20.58725
1968,July,N,145.163125,140.56944558061835,20.4055
1969,July,EN,139.537375,128.20041942167825,17.88875
1970,July,N,144.23874999999998,135.4533715801059,19.537625
1971,July,LA,138.1335,133.78543220869665,18.48025
1972,July,LA,136.4965,138.54384544658654,18.91075
1973,July,EN,142.235875,134.14864569153175,19.08075
1974,July,LA,139.4375,141.44150605109817,19.72225
1975,July,LA,137.398125,137.30627692335685,18.865625
1976,July,LA,143.204875,140.2335290610742,20.082124999999998
1977,July,N,134.14025,133.24859615216164,17.874
1978,July,N,144.303375,139.1911311845617,20.08575
1979,July,N,135.80325,137.12945014202532,18.622625
1980,July,N,135.995375,135.93476984051847,18.4865
1981,July,N,140.173125,139.07623162428604,19.49475
1982,July,N,139.377625,138.53819793528552,19.309125
1983,July,EN,136.299,132.88707180536906,18.112375
1984,July,N,142.61275,136.85662747545362,19.5175
1985,July,LA,137.576625,138.29656745831642,19.026375
1986,July,N,145.200125,136.8834909749561,19.8755
1987,July,EN,134.052625,130.7508898091328,17.5275
1988,July,EN,139.953,136.61461347738168,19.119625
1989,July,LA,138.54875,136.54038740876405,18.9175
1990,July,N,136.092125,133.36462341226573,18.149874999999998
1991,July,N,137.81575,139.7645044198504,19.26175
1992,July,EN,140.20575,138.12557616217595,19.366
1993,July,N,141.616375,134.24030236616352,19.010625
1994,July,N,140.7155,132.7421286212251,18.678875
1995,July,EN,146.3645,133.83624444452033,19.588874999999998
1996,July,LA,150.35649999999998,134.25176164648687,20.185625
1997,July,N,140.828875,138.0212332165545,19.437375
1998,July,EN,146.355,129.16196918451712,18.9035
1999,July,LA,141.10375,127.68087311641257,18.01625
2000,July,LA,143.07874999999999,135.64557979434403,19.408
2001,July,LA,145.91062499999998,135.80231048972618,19.815
2002,July,N,142.734,125.37044432300642,17.894625
2003,July,EN,147.69025,136.2378356052617,20.121
2004,July,N,140.28275,133.80565322536094,18.770625
2005,July,EN,145.341875,128.24762306114465,18.63975
2006,July,N,148.168375,139.18034128402905,20.622125
2007,July,N,145.0015,127.913331931049,18.547625
2008,July,LA,145.661125,140.04251305899223,20.39875
2009,July,N,146.238,137.15056961938757,20.056625
2010,July,EN,142.950625,128.58285859190892,18.381
2011,July,LA,147.44075,140.4148785189983,20.702875
2012,July,LA,146.5885,135.10780177162601,19.80525
2013,July,N,144.756875,135.3294964401518,19.589875
2014,July,N,143.163,132.59187080460734,18.98225
2015,July,EN,145.5225,132.91071827380645,19.3415
2016,July,EN,147.1205,125.44563809938113,18.455625
2017,July,N,144.538125,134.52419560583064,19.443875
2018,July,LA,143.584,130.05975596166704,18.6745
2019,July,EN,150.32025,132.41645752984047,19.904875
1963,August,N,118.357125,124.86679614767594,14.778875
1964,August,EN,144.4135,136.58608786574663,19.724875
1965,August,LA,133.061125,136.69187751118142,18.188375
1966,August,EN,137.499125,139.41452354696804,19.169375
1967,August,N,135.69037500000002,141.05090357366907,19.13925
1968,August,N,133.3165,137.97804472814693,18.39475
1969,August,EN,132.29275,128.3176893669532,16.9755
1970,August,EN,136.554375,136.90974749069738,18.695625
1971,August,LA,130.071125,136.03711046552414,17.694499999999998
1972,August,LA,133.011375,138.31711761494086,18.39775
1973,August,EN,138.11425,136.08570440776387,18.795375
1974,August,LA,136.360875,142.720556757941,19.4615
1975,August,LA,128.313,136.114423324215,17.46525
1976,August,LA,140.822125,138.90306654582864,19.560625
1977,August,EN,126.77137499999999,131.34767213813055,16.651125
1978,August,N,140.8455,139.09123827172328,19.590375
1979,August,N,128.492875,134.58139215890375,17.29275
1980,August,N,127.1755,134.58075651363666,17.115375
1981,August,N,132.093,138.62203144754076,18.311
1982,August,N,138.335125,138.99307930650295,19.227625
1983,August,EN,134.654,136.09417469960047,18.325625
1984,August,N,134.877375,137.02168358481177,18.481125
1985,August,LA,130.935375,140.37268385262576,18.379749999999998
1986,August,N,141.718,136.57492343950665,19.355125
1987,August,EN,129.67225,131.76681980917274,17.0865
1988,August,EN,134.247375,139.45430962802814,18.721375000000002
1989,August,LA,136.071375,139.10346683863526,18.928
1990,August,N,130.8845,135.2843537622866,17.706625
1991,August,N,131.142625,138.8087969109967,18.20375
1992,August,EN,134.381625,139.66102136359788,18.767875
1993,August,N,134.48475,135.5460377477744,18.228875
1994,August,N,132.55949999999999,132.26513377011833,17.533
1995,August,EN,143.8255,135.01604374745784,19.41875
1996,August,LA,142.183875,137.09360502377643,19.4925
1997,August,N,139.792,139.3498912670253,19.48
1998,August,EN,143.706625,131.9746045111003,18.965625
1999,August,LA,130.66375,126.50792587844755,16.53
2000,August,LA,130.730625,132.67740439548882,17.345
2001,August,LA,139.43725,135.08226818873723,18.8355
2002,August,N,133.68375,122.71405462518817,16.404875
2003,August,EN,141.57825,137.5237721895842,19.470375
2004,August,N,138.171625,137.89462923375186,19.053125
2005,August,EN,141.41575,129.3782693936142,18.296125
2006,August,N,139.15175,138.97148257208406,19.338124999999998
2007,August,N,133.159125,126.68489673539085,16.86925
2008,August,LA,143.649875,139.97575702728594,20.107499999999998
2009,August,N,140.868,136.17890507425392,19.18325
2010,August,EN,132.681,127.25917802850445,16.884875
2011,August,LA,139.52025,139.16349060441047,19.416125
2012,August,LA,146.398625,136.73540308182538,20.017875
2013,August,N,143.324125,136.56197098708958,19.572625
2014,August,N,139.03075,132.73232720099688,18.453875
2015,August,EN,144.205375,136.6280556463308,19.7025
2016,August,EN,142.130875,129.87677730120214,18.4595
2017,August,N,136.856625,134.09928090803058,18.352375
2018,August,LA,136.25925,129.54992046411527,17.652375
2019,August,EN,143.092625,133.8101806434818,19.14725
1963,September,N,110.910625,124.38168119600805,13.79525
1964,September,EN,129.064875,133.28761988883497,17.202749999999998
1965,September,LA,127.40725,134.23980974395099,17.103125
1966,September,EN,127.628375,137.84552220460378,17.593
1967,September,N,125.387,139.31268791820523,17.468
1968,September,N,119.51875,134.32829576949223,16.05475
1969,September,EN,122.151375,125.6852409561497,15.352625
1970,September,N,121.3915,134.14139375491695,16.283625
1971,September,LA,123.007875,135.61631724798107,16.681875
1972,September,LA,129.314,136.1646844115873,17.608
1973,September,EN,129.07475,136.5797725736443,17.628999999999998
1974,September,LA,127.943375,140.86016567876217,18.022125
1975,September,LA,120.8235,133.9308992042111,16.182
1976,September,LA,132.81425000000002,137.28572047050673,18.2335
1977,September,EN,120.17725,130.0100476587707,15.62425
1978,September,N,131.999625,138.7769094040987,18.3185
1979,September,N,120.6465,133.23842796931532,16.07475
1980,September,N,123.3125,134.42372022301063,16.576125
1981,September,N,121.02575,137.22286372941292,16.607499999999998
1982,September,N,131.19775,136.06559563712028,17.8515
1983,September,EN,130.997875,135.32185159492093,17.726875
1984,September,N,126.94925,134.82454602922033,17.115875
1985,September,LA,124.94425,138.86693465285518,17.350625
1986,September,N,135.834375,135.97257689741645,18.46975
1987,September,EN,127.827,132.0789035180361,16.88325
1988,September,EN,124.16675000000001,138.46802787380682,17.193125000000002
1989,September,LA,127.453875,135.85208766700896,17.314875
1990,September,N,129.678625,133.690112769163,17.33675
1991,September,N,123.02725,137.42890294629848,16.9075
1992,September,EN,124.466,137.1940931660052,17.076
1993,September,N,125.36512499999999,132.39427631887258,16.597625
1994,September,N,126.8355,131.2398736946675,16.645875
1995,September,EN,129.79275,132.8464032081915,17.2425
1996,September,LA,129.726,135.36029785856343,17.55975
1997,September,N,132.79287499999998,138.99371483598048,18.457375
1998,September,EN,136.223875,130.127703385328,17.726499999999998
1999,September,LA,120.842625,125.14934196439377,15.123375
2000,September,LA,119.05087499999999,130.14814044835876,15.49425
2001,September,N,131.676375,133.68856030552178,17.603625
2002,September,N,123.723375,120.21677391196287,14.873625
2003,September,EN,136.2935,137.17455344532206,18.696
2004,September,N,132.2075,136.68948433333964,18.071375
2005,September,N,131.37775,127.48638943808979,16.748874999999998
2006,September,N,128.18175,137.39085322208504,17.611
2007,September,EN,125.80775,125.56360796532805,15.796875
2008,September,LA,133.993,138.66769159582964,18.5805
2009,September,N,129.5675,132.8834391340421,17.217375
2010,September,EN,124.6165,126.84917326357264,15.8075
2011,September,LA,127.36075,136.9034416019064,17.436125
2012,September,LA,137.04262500000002,138.1395022169197,18.931
2013,September,N,134.29425,135.1537761296556,18.150375
2014,September,N,130.297375,130.32399923636223,16.980875
2015,September,EN,139.143375,136.42942037305048,18.98325
2016,September,EN,132.508625,129.42176405498134,17.1495
2017,September,N,127.353875,131.94730038642325,16.804
2018,September,LA,125.280125,126.1902077444447,15.809125
2019,September,EN,129.831375,131.3935094656434,17.059
1963,October,N,100.343,125.35503223941879,12.5785
1964,October,N,112.94125,130.24249333171008,14.70975
1965,October,EN,119.8885,132.28124465649333,15.859
1966,October,EN,117.763625,136.42264323979498,16.065625
1967,October,N,114.83525,136.63378622853173,15.690375
1968,October,N,105.506375,130.3155851956813,13.749125
1969,October,EN,111.78925,123.5438559611054,13.810875
1970,October,N,113.896125,130.59597067064396,14.874375
1971,October,LA,119.07025,132.52365725275624,15.779625
1972,October,EN,125.195625,134.59036607708936,16.850125
1973,October,EN,120.52825,135.04614063507933,16.276875
1974,October,LA,119.39375,138.58346856514683,16.546
1975,October,LA,110.33225,132.34910916799032,14.602375
1976,October,LA,130.80725,133.63078116847498,17.479875
1977,October,EN,119.474375,128.1833447548899,15.314625
1978,October,N,124.285625,136.21345992346258,16.929375
1979,October,N,115.8575,129.8448525127851,15.0435
1980,October,N,117.763125,133.09132209254807,15.67325
1981,October,N,114.957875,136.42823512525783,15.6835
1982,October,N,124.062625,134.260821903454,16.65675
1983,October,EN,129.104125,131.46946311746427,16.97325
1984,October,N,121.214375,132.5729724712931,16.06975
1985,October,LA,116.6315,135.9967075789988,15.8615
