YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
1963,April,N,139.249375,111.37662197765701,15.509125000000001
1964,April,EN,129.43525,110.55044896965858,14.309125
1965,April,LA,136.74824999999998,119.27026488455977,16.31
1966,April,EN,144.385125,114.79887557669117,16.57525
1967,April,N,140.172375,110.58705397550695,15.50125
1968,April,N,143.764875,117.24612844410014,16.855875
1969,April,EN,147.9835,107.49678173580163,15.90775
1970,April,EN,146.5615,111.87965461598033,16.39725
1971,April,LA,145.5665,117.03413903611064,17.03625
1972,April,LA,144.472125,115.99123360302204,16.7575
1973,April,EN,146.293,110.5768902134757,16.176625
1974,April,LA,139.21125,117.44830248992088,16.350125
1975,April,LA,140.571125,112.37193982761394,15.796249999999999
1976,April,LA,134.39275,116.60413229136243,15.67075
1977,April,EN,143.790125,114.69668031792865,16.49225
1978,April,N,140.33425,115.11355923447057,16.154375
1979,April,N,135.255875,117.53093904423743,15.896749999999999
1980,April,N,134.528875,112.08002742905566,15.078
1981,April,N,132.870375,112.40654660604368,14.9355
1982,April,N,126.28575000000001,107.35375923253414,13.55725
1983,April,EN,133.58575,108.99646856045649,14.560375
1984,April,LA,137.91062499999998,111.70640405697532,15.4055
1985,April,LA,138.975375,114.50859549758364,15.913875
1986,April,N,142.7545,108.77240297153504,15.52775
1987,April,EN,146.707,109.4213295889085,16.052875
1988,April,EN,139.881125,104.34306272558217,14.595625
1989,April,LA,131.39625,109.94415746263687,14.44625
1990,April,N,143.6505,108.81792962781195,15.63175
1991,April,N,140.53925,109.7140122777089,15.419125000000001
1992,April,EN,133.3685,112.50970056647559,15.00525
1993,April,N,142.0665,109.35459802275696,15.535625
1994,April,N,134.2955,108.76760576489905,14.607
1995,April,EN,129.44975,103.89166452619646,13.44875
1996,April,LA,143.214625,106.02967399453792,15.185
1997,April,N,132.4525,108.43321190615505,14.36225
1998,April,EN,135.800625,88.82875170861695,12.063
1999,April,LA,145.704125,105.83348275143206,15.420375
2000,April,LA,142.818625,110.72873023388931,15.814125
2001,April,LA,144.65225,108.03582384650082,15.627625
2002,April,N,147.740375,108.13140957575071,15.975375
2003,April,EN,136.7855,105.73397765113991,14.462875
2004,April,N,134.805125,104.39792255672772,14.073375
2005,April,EN,136.972625,98.91483791012986,13.548625
2006,April,N,132.28975,102.14699173594326,13.513
2007,April,N,147.4235,105.08501019172657,15.492
2008,April,LA,129.81575,106.55775589633768,13.832875
2009,April,LA,135.444625,104.6959227802506,14.1805
2010,April,EN,145.87225,105.9942860962246,15.461625
2011,April,LA,131.72925,106.09545715928694,13.975875
2012,April,LA,144.151875,108.6154793338623,15.657125
2013,April,N,138.476125,99.98564734534564,13.845625
2014,April,N,143.769625,106.85584663658962,15.362625
2015,April,N,135.416875,105.39860707906602,14.27275
2016,April,EN,142.240375,91.95086135002104,13.079125
2017,April,N,143.373375,103.11886708393381,14.7845
2018,April,N,135.65725,102.58390170816524,13.91625
2019,April,EN,142.26425,102.24283331898211,14.5455
1963,May,N,145.110625,122.6228265504335,17.793875
1964,May,EN,142.44275,120.35186065980895,17.14325
1965,May,LA,141.3265,122.96526129211432,17.378249999999998
1966,May,EN,147.11775,118.94978682042105,17.499625
1967,May,N,146.378875,121.41523153528814,17.772625
1968,May,N,150.339875,128.5678533389761,19.328875
1969,May,EN,154.10825,117.98686961924491,18.18275
1970,May,EN,150.788125,121.5977717078185,18.3355
1971,May,LA,148.850375,123.98692310986787,18.4555
1972,May,LA,146.97062499999998,125.34562603921704,18.422125
1973,May,EN,148.30475,116.92730677877815,17.340875
1974,May,LA,143.673125,125.20434841241186,17.9885
1975,May,LA,148.3675,120.13918142450332,17.824749999999998
1976,May,LA,142.15075,124.49899138766416,17.697625
1977,May,N,142.485125,120.58013073294492,17.180875
1978,May,N,144.112,125.64359664705228,18.106749999999998
1979,May,N,136.12725,125.86660642891118,17.133875
1980,May,N,140.729,121.59629500671502,17.112125
1981,May,N,140.88525,122.66543161899487,17.28175
1982,May,N,135.99625,122.22303923821428,16.621875
1983,May,EN,139.36112500000002,116.00885828095889,16.167125
1984,May,N,141.39724999999999,115.26744685628611,16.2985
1985,May,LA,141.94575,119.10976552661845,16.907125
1986,May,N,149.712875,115.30153969723713,17.262125
1987,May,EN,149.785875,113.2800405912774,16.967750000000002
1988,May,EN,142.84575,112.56635216658528,16.079625
1989,May,LA,135.605625,115.38514718692534,15.646875000000001
1990,May,N,148.947375,114.47331649852843,17.0505
1991,May,N,143.706375,117.69310860426337,16.91325
1992,May,EN,137.249875,117.06476964004521,16.067125
1993,May,N,147.696,115.67171758206045,17.08425
1994,May,N,140.761,114.20599455815176,16.07575
1995,May,EN,130.707125,107.09343503653685,13.997875
1996,May,LA,145.90175,115.13998289945118,16.799125
1997,May,N,139.547125,119.76151425548896,16.712375
1998,May,EN,142.343375,97.43077259479058,13.868625
1999,May,LA,152.217125,115.21617557814207,17.537875
2000,May,LA,148.5995,116.8652990084085,17.366125
2001,May,LA,150.699,113.67112588670129,17.130125
2002,May,N,150.499,111.853733247397,16.833875
2003,May,EN,145.1625,114.71109962972531,16.65175
2004,May,N,139.664375,110.56326998205517,15.441749999999999
2005,May,EN,142.5965,107.90499766824573,15.386875
2006,May,N,140.929125,117.30275768050075,16.531375
2007,May,N,150.881875,113.43807862939137,17.11575
2008,May,LA,134.5295,113.00495430370287,15.202499999999999
2009,May,LA,142.613375,114.89981216698645,16.38625
2010,May,EN,151.023375,108.9616094197339,16.455750000000002
2011,May,LA,137.214875,113.98545529411444,15.640500000000001
2012,May,LA,148.203625,112.77811187142015,16.714125
2013,May,N,142.459375,111.21065215960691,15.843
2014,May,N,143.182625,112.8200785535256,16.153875
2015,May,EN,139.99325,109.40081039621555,15.315375
2016,May,EN,147.43475,99.08027110297945,14.607875
2017,May,N,150.078625,108.43316295042015,16.2735
2018,May,LA,143.663375,112.88019650102193,16.21675
2019,May,EN,146.99525,106.39459438315184,15.6395
1963,June,N,147.171,132.84886288738952,19.5515
1964,June,EN,152.64325,133.09383153201992,20.315875
1965,June,LA,145.89724999999999,130.47709946554855,19.03625
1966,June,EN,150.446125,127.83812145377622,19.23275
1967,June,N,150.59325,127.3670964668071,19.180625
1968,June,N,155.803875,137.422769491452,21.411
1969,June,EN,153.182125,123.47312063989189,18.913875
1970,June,N,154.32925,129.68377673059385,20.014
1971,June,LA,149.41325,129.060675676354,19.283375
1972,June,LA,148.873625,128.1968179387047,19.085124999999998
1973,June,EN,150.538625,125.6787087034972,18.9195
1974,June,LA,148.25275,132.59956392039945,19.65825
1975,June,LA,152.779125,129.59067542768034,19.79875
1976,June,LA,146.556625,129.97450644076991,19.048625
1977,June,N,142.992875,124.96601666341768,17.86925
1978,June,N,146.013125,130.20404843742642,19.0115
1979,June,N,136.70875,133.4122724404985,18.238625
1980,June,N,143.445625,128.77091929433192,18.471625
1981,June,N,144.451125,132.03081665165294,19.072
1982,June,N,142.102375,128.47779637743565,18.257
1983,June,EN,141.814,120.92159448291424,17.148375
1984,June,N,145.92775,125.52872911423633,18.318125
1985,June,LA,141.716,124.53869005616866,17.649125
1986,June,N,153.656375,124.98423836954373,19.204625
1987,June,EN,148.82125,119.13033252979666,17.729125
1988,June,EN,148.309,119.83679345151002,17.772875
1989,June,LA,143.96812500000001,123.99011934065265,17.850625
1990,June,N,146.714125,120.73138833769414,17.713
1991,June,N,142.948875,123.98051401243977,17.722875
1992,June,EN,143.24337500000001,127.42474128384644,18.25275
1993,June,N,147.549125,122.69472963665491,18.1035
1994,June,N,145.49725,121.15606996008515,17.627875
1995,June,EN,139.27625,120.7312804588004,16.815
1996,June,LA,151.251125,122.18917379953372,18.48125
