YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
1963,April,N,128.891375,116.30723933234476,14.991
1964,April,EN,139.67737499999998,122.14308151194854,17.060625
1965,April,LA,131.149875,131.90919930346863,17.299875
1966,April,EN,136.6235,118.35628570487508,16.17025
1967,April,N,138.6535,125.64504321924798,17.421125
1968,April,N,144.431,131.32395399879528,18.96725
1969,April,EN,125.749875,114.47426886110225,14.395125
1970,April,EN,138.05125,125.40723101022265,17.312625
1971,April,LA,140.232375,124.77860408482707,17.498
1972,April,LA,128.25375,123.7322495443603,15.869125
1973,April,EN,140.178375,117.23634262417438,16.434
1974,April,LA,133.805625,126.02796033425352,16.86325
1975,April,LA,131.973,121.35910375607129,16.016125
1976,April,LA,136.093,124.57565782222451,16.953875
1977,April,EN,131.079,112.40931041585608,14.7345
1978,April,N,145.969125,121.09923930831266,17.676750000000002
1979,April,N,134.085,130.5813476526084,17.509
1980,April,N,133.95225,115.22949409211118,15.43525
1981,April,N,141.408375,123.91769582247161,17.523
1982,April,N,133.481375,128.1470916822665,17.105249999999998
1983,April,EN,132.91825,123.34085048516664,16.39425
1984,April,LA,139.746875,118.62608734542366,16.577625
1985,April,LA,139.095,122.19616089722851,16.996875
1986,April,N,124.29625,112.38874865492724,13.9695
1987,April,EN,135.55975,120.90332860602058,16.389625
1988,April,EN,135.121875,119.88436365318347,16.198999999999998
1989,April,LA,128.7075,117.74857720024085,15.155125
1990,April,N,133.57487500000002,111.91943844229687,14.949625
1991,April,N,133.47725,122.88517331605199,16.402375
1992,April,EN,132.61875,123.58923606201988,16.39025
1993,April,N,136.2985,119.82707073078576,16.332250000000002
1994,April,N,137.619625,125.87230927275088,17.3225
1995,April,EN,138.426125,121.47183199703089,16.814875
1996,April,LA,144.37425,117.76597973669128,17.002375
1997,April,N,135.932125,124.72677080565023,16.954375
1998,April,EN,135.979375,106.66966957305105,14.504875
1999,April,LA,141.302875,114.48546252155167,16.177125
2000,April,LA,129.07525,119.10203544056664,15.373125
2001,April,LA,139.22875,113.59992099332932,15.816374999999999
2002,April,N,144.208375,110.99303351833763,16.006125
2003,April,EN,145.54137500000002,116.88944123277658,17.01225
2004,April,N,142.500875,121.77118210677654,17.3525
2005,April,EN,139.315125,113.93863372695535,15.873375
2006,April,N,142.419,117.20785148049066,16.692625
2007,April,N,134.577,111.27087095120264,14.974499999999999
2008,April,LA,143.738,126.77493077683006,18.222375
2009,April,LA,143.447875,121.7768126575594,17.468625
2010,April,EN,128.633625,115.07780333485898,14.802875
2011,April,LA,132.469875,115.7272549702338,15.330375
2012,April,LA,142.927375,121.1664315530877,17.318
2013,April,N,134.907875,118.03981050031365,15.9245
2014,April,N,136.91425,115.02089811688703,15.748
2015,April,N,141.394,121.68125945938303,17.205000000000002
2016,April,EN,139.03175,107.13919662235426,14.89575
2017,April,N,139.2405,115.0841529583706,16.024375
2018,April,N,140.49025,117.48235197816219,16.505125
2019,April,EN,142.956625,113.24676278556518,16.189375
1963,May,N,123.788625,125.85566727152839,15.5795
1964,May,EN,139.943625,125.67828652430578,17.587875
1965,May,LA,121.14,131.0591051675747,15.8765
1966,May,EN,129.740625,121.97316761808416,15.824875
1967,May,N,131.54125,132.21327910446342,17.3915
1968,May,N,141.16625,136.0018772192362,19.198875
1969,May,EN,126.657625,122.78968597429487,15.552249999999999
1970,May,EN,134.585125,127.01255060691142,17.094
1971,May,LA,128.34375,127.02118334550768,16.302375
1972,May,LA,125.6365,128.97227318494225,16.203625
1973,May,EN,133.824125,117.49282874070722,15.723374999999999
1974,May,LA,126.33687499999999,133.32805643641257,16.84425
1975,May,LA,127.607875,128.44034899883724,16.39
1976,May,LA,134.243,131.98919124274636,17.718625
1977,May,N,124.693375,119.08311087096648,14.848875
1978,May,N,136.797375,119.27312201714398,16.31625
1979,May,N,126.184875,130.47720655902697,16.46425
1980,May,N,130.0085,122.3295015325921,15.903875
1981,May,N,133.184375,127.62289119876112,16.997375
1982,May,N,132.1335,135.50405461143464,17.904625
1983,May,EN,126.49975,123.83028424957361,15.6645
1984,May,N,130.96325,120.87551278698415,15.83025
1985,May,LA,130.153875,125.91538284972307,16.388375
1986,May,N,123.35312499999999,119.47609758569149,14.73775
1987,May,EN,129.72,121.35657570151095,15.742375
1988,May,EN,126.54375,121.1280683558058,15.328
1989,May,LA,129.37575,126.3683495554615,16.349
1990,May,N,122.669375,112.76755098817449,13.833124999999999
1991,May,N,126.57025,127.1418441537407,16.092375
1992,May,EN,130.0985,128.66501151050934,16.739125
1993,May,N,130.820375,124.74738740047181,16.319499999999998
1994,May,N,131.431625,125.53009977621444,16.498625
1995,May,EN,133.552125,124.39337824089284,16.613
1996,May,LA,139.009875,125.63136252010874,17.464
1997,May,N,132.581125,130.42109123753477,17.291375
1998,May,EN,132.758125,111.97431418980948,14.8655
1999,May,LA,135.81575,122.06242648588253,16.578
2000,May,LA,128.7365,124.7227864669305,16.056375
2001,May,LA,133.78425,116.76916378422723,15.621875
2002,May,N,137.495625,110.383512202661,15.17725
2003,May,EN,140.66975,118.57559994241834,16.68
2004,May,N,132.639375,120.56845864962798,15.992125
2005,May,EN,133.491125,114.81568531241308,15.326875
2006,May,N,137.94525000000002,124.6925863703172,17.20075
2007,May,N,128.727125,117.59565048935877,15.137749999999999
2008,May,LA,138.327375,129.66793449235917,17.936625
2009,May,LA,135.90075,125.80320564823963,17.09675
2010,May,EN,121.41975,118.07593081026769,14.33675
2011,May,LA,129.328375,121.19536799252292,15.674
2012,May,LA,136.140875,124.94686110986139,17.010375
2013,May,N,135.58125,127.62642327017932,17.30375
2014,May,N,133.49349999999998,120.91225415469667,16.141
2015,May,EN,135.701,125.83087081156367,17.075375
2016,May,EN,135.2115,105.7981384719495,14.305125
2017,May,N,129.533625,119.17272445668065,15.436875
2018,May,LA,138.13125,123.88398714990272,17.11225
2019,May,EN,136.17974999999998,114.14233760893232,15.543875
1963,June,N,118.471875,131.78127720186754,15.612375
1964,June,EN,136.845375,129.99799956702958,17.789625
1965,June,LA,113.81225,133.13703050418562,15.152625
1966,June,EN,124.032375,126.66954897864368,15.711125
1967,June,N,124.08275,131.21082503410022,16.281000000000002
1968,June,N,136.676,138.88960022242384,18.982875
1969,June,EN,124.2835,126.04851005966198,15.66575
1970,June,N,126.25637499999999,129.84987886750275,16.394375
1971,June,LA,118.2375,129.60038058991438,15.323625
1972,June,LA,122.801125,132.49675033514555,16.27075
1973,June,EN,124.61975,121.58887335273904,15.152375
1974,June,LA,116.84525,130.6535781300481,15.26625
1975,June,LA,120.829625,132.01129276036403,15.950875
1976,June,LA,125.132875,132.0586216851487,16.524875
1977,June,N,118.571875,121.4811691221042,14.40425
1978,June,N,127.406375,115.89098269219261,14.76525
1979,June,N,123.337875,132.91638922755885,16.393625
1980,June,N,124.61625,126.12620745689267,15.717375
1981,June,N,124.710875,128.5373067906067,16.03
1982,June,N,124.21,134.89252073102006,16.755
1983,June,EN,118.040375,121.77930644493463,14.374875
1984,June,N,125.620375,125.09515275686768,15.7145
1985,June,LA,124.859125,129.51596449198246,16.17125
1986,June,N,122.0855,124.23977458420534,15.167875
1987,June,EN,121.25475,120.7086732684699,14.6365
1988,June,EN,119.031375,120.44198430875893,14.336375
1989,June,LA,123.74425,131.36468967244943,16.255625
1990,June,N,115.25925,113.26422825066102,13.05475
1991,June,N,124.59325,133.3027672044834,16.608625
1992,June,EN,125.871375,130.14774010373685,16.381875
1993,June,N,122.6185,127.69178386621921,15.657375
1994,June,N,127.426125,129.58096308743595,16.512
1995,June,EN,128.76425,128.63236496154795,16.56325
1996,June,LA,130.664875,127.07604090234656,16.604375
1997,June,N,126.36625000000001,130.74792517780656,16.522125
1998,June,EN,129.421875,116.25159966195822,15.0455
1999,June,LA,127.857,123.62835042273792,15.806750000000001
2000,June,LA,125.10612499999999,127.63663649561524,15.968125
2001,June,LA,129.25575,121.54198169133674,15.71
2002,June,N,131.236,111.65381450211834,14.653
2003,June,EN,136.108,123.50302700796426,16.80975
2004,June,N,125.94500000000001,119.8717694231609,15.09725
2005,June,EN,130.6125,118.75011962867259,15.51025
2006,June,N,131.88325,129.0668071950001,17.02175
2007,June,N,120.43075,117.75750794543752,14.181625
2008,June,LA,135.399375,133.56136245089758,18.084125
2009,June,N,129.5255,126.88814171726803,16.43525
2010,June,EN,115.232,122.13512739516801,14.073875
2011,June,LA,124.50575,125.38175947697194,15.61075
2012,June,LA,130.45175,126.30819440904395,16.477125
2013,June,N,130.731625,129.71038950980682,16.95725
2014,June,N,125.58675,121.8659611782294,15.30475
2015,June,EN,129.0725,127.33057002847235,16.434874999999998
2016,June,EN,129.277875,103.7223113390439,13.409
2017,June,N,124.62899999999999,118.84673711575958,14.81175
2018,June,LA,132.37775,125.1333777768545,16.564875
2019,June,EN,130.808625,119.26679146730577,15.601125
1963,July,N,113.8235,133.43026703624471,15.1875
1964,July,EN,131.24175,130.28628466170255,17.099
1965,July,LA,109.120125,133.06665475319056,14.52025
1966,July,EN,118.80475,129.2046403868532,15.350125
1967,July,N,113.37950000000001,129.75559955723918,14.711625
1968,July,N,128.824375,139.10993164143042,17.92075
1969,July,EN,119.51025,127.92626573871279,15.288499999999999
1970,July,N,121.402625,131.07006541250652,15.91225
1971,July,LA,110.573625,129.271333918916,14.294
1972,July,LA,117.280875,132.49069807843776,15.538625
1973,July,EN,121.15825,125.99534080427871,15.265375
1974,July,LA,111.744,134.55532288087056,15.03575
1975,July,LA,113.536625,133.609969470204,15.169625
1976,July,LA,116.807875,132.96941665962163,15.531875
1977,July,N,115.262625,125.49818295392805,14.465250000000001
1978,July,N,116.56475,112.11794303166266,13.069
1979,July,N,118.580625,135.85798691818331,16.110125
1980,July,N,116.6195,126.89558778763414,14.7985
1981,July,N,118.37412499999999,129.5035971754807,15.329875
1982,July,N,117.897125,133.13301745059516,15.696
1983,July,EN,112.312,122.83972327088824,13.796375
1984,July,N,117.752,127.85982403695904,15.05575
1985,July,LA,117.581,131.92607649195023,15.512
1986,July,N,120.95587499999999,131.54383778381992,15.911
1987,July,EN,114.635375,122.65847257009453,14.061
1988,July,EN,113.2655,123.36059965302762,13.9725
1989,July,LA,116.99000000000001,132.7121976237285,15.526
1990,July,N,110.91425,115.93077535122855,12.858375
1991,July,N,120.832125,134.52444869276277,16.254875
1992,July,EN,122.853375,133.34900241853347,16.382375
1993,July,N,115.395875,128.15882716778222,14.789
1994,July,N,120.01825,129.78130409333582,15.576125
1995,July,EN,127.2,130.31643081761004,16.576249999999998
1996,July,LA,120.9585,127.40113344659532,15.41025
1997,July,N,122.209875,133.16947587091468,16.274625
1998,July,EN,123.66475,119.60764890560972,14.79125
1999,July,LA,120.08975,125.91520092264328,15.121125
2000,July,LA,120.121125,128.1196375741569,15.389875
2001,July,LA,121.012125,122.07454418307256,14.7725
2002,July,N,127.53775,114.82482637493605,14.6445
2003,July,EN,133.1545,129.67924478707064,17.267375
2004,July,N,119.08125,122.02277856505538,14.530625
2005,July,EN,124.99487500000001,121.92699900695928,15.24025
2006,July,N,124.851,130.04601484970084,16.236375
2007,July,N,115.980625,122.96881483437427,14.262
2008,July,LA,128.21212500000001,136.14059512702093,17.454875
2009,July,N,124.30562499999999,128.25344790310174,15.942625
2010,July,EN,112.2685,128.65808307762194,14.44425
2011,July,LA,113.916875,126.48586963081632,14.408875
2012,July,LA,122.878,126.49742020540698,15.54375
2013,July,N,126.385625,131.09382495042453,16.568375
2014,July,N,120.101,126.02101564516532,15.13525
2015,July,EN,123.57775,129.1342899510632,15.958125
2016,July,EN,128.05775,108.79856939544855,13.932500000000001
2017,July,N,119.07662499999999,125.65228482080343,14.962250000000001
2018,July,LA,126.12975,126.34905722083806,15.936375
2019,July,EN,124.143,124.55897634179938,15.463125
1963,August,N,110.01625,133.31439673684568,14.66675
1964,August,EN,122.89875,132.26436395813627,16.255125
1965,August,LA,111.361375,131.87022879342143,14.68525
1966,August,EN,114.773375,131.8097511726914,15.12825
1967,August,N,111.535375,130.526974065403,14.558375
1968,August,N,119.74912499999999,138.70456255943415,16.60975
1969,August,EN,118.257875,132.02714829773493,15.61325
1970,August,EN,116.326,133.30854667056377,15.50725
1971,August,LA,109.483125,129.5713380486719,14.185875
1972,August,LA,115.059625,133.57856850306962,15.3695
1973,August,EN,113.84475,127.55528911082855,14.5215
1974,August,LA,111.280125,133.76827173765307,14.88575
1975,August,LA,111.739125,132.61805119737602,14.818625
1976,August,LA,116.710375,131.266179206433,15.320124999999999
1977,August,EN,116.69200000000001,125.88052308641551,14.68925
1978,August,N,112.037375,116.37188036581543,13.038
1979,August,N,112.854375,131.15907114810568,14.801874999999999
1980,August,N,112.209375,130.6441640905673,14.6595
1981,August,N,113.329375,130.83545197350642,14.8275
1982,August,N,116.392625,134.85497899888418,15.696125
1983,August,EN,109.50475,125.39752841771704,13.731625
1984,August,N,112.98325,128.65070707383617,14.535375
1985,August,LA,112.9645,134.01997972814468,15.1395
1986,August,N,118.6995,131.94453220106234,15.66175
1987,August,EN,114.308875,126.48186765900724,14.458
1988,August,EN,107.742125,130.51881982093818,14.062375
1989,August,LA,115.245625,138.53671234808263,15.96575
1990,August,N,109.58175,123.0314354351888,13.482
1991,August,N,118.729,134.99650464503196,16.028
1992,August,EN,115.241875,133.70682314913742,15.408625
1993,August,N,111.83375,129.36166407725753,14.467
1994,August,N,117.09925,130.5441751334872,15.286625
1995,August,EN,124.656875,128.11668028738887,15.970625
1996,August,LA,112.598375,130.35268048939426,14.6775
1997,August,N,118.6585,135.3063623760624,16.05525
1998,August,EN,120.882125,127.64604361480244,15.430125
1999,August,LA,116.589375,131.7229807604681,15.3575
2000,August,LA,112.668625,127.70746958170474,14.388625
2001,August,LA,121.395625,130.89536793438808,15.890125
2002,August,N,123.380125,116.53214000228967,14.37775
2003,August,EN,128.41287499999999,133.4601378561145,17.137999999999998
2004,August,N,115.370125,129.4984295111061,14.94025
2005,August,EN,120.90075,125.72916214332831,15.20075
2006,August,N,123.53625,127.59817462485708,15.763
2007,August,N,109.56824999999999,128.564844286552,14.086625
2008,August,LA,125.55962500000001,134.28580246237593,16.860875
2009,August,N,117.193375,128.7498120094246,15.088625
