*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 19:03:41

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962227 1962230     -99     -99 1963227    1963   -99   74468     -99   14711     -99   -99    -99.     -99   -99.0 0.463   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2553  1438   703   734   231  1244     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94198   94198     -99    0.0     47.8     80.4    105.9      -99      9.5     15.9     20.9      -99      -99      -99      -99      -99   363  28.9  17.7  18.9  12.0  380.0 1556.7  925.7  222.2  703.5     2
        2     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963227 1963229     -99     -99 1964227    1964   -99   80877     -99   21986     -99   -99    -99.     -99   -99.0 0.512   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2052  1321   819   502   198   887     6   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94155   94155     -99    0.0     53.0     88.6     98.8      -99     14.4     24.1     26.9      -99      -99      -99      -99      -99   364  29.5  18.5  18.2  12.0  380.0 1525.3  912.9   94.4  818.5     2
        3     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964227 1964230     -99     -99 1965226    1965   -99   76283     -99   17963     -99   -99    -99.     -99   -99.0 0.490   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3011  1454   732   723   262  1648     6   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94228   94228     -99    0.0     43.7     78.8    104.3      -99     10.3     18.5     24.5      -99      -99      -99      -99      -99   363  28.3  18.0  18.2  12.0  380.0 1744.6  968.4  236.7  731.7     2
        4     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965227 1965229     -99     -99 1966227    1966   -99   82150     -99   19459     -99   -99    -99.     -99   -99.0 0.504   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2758  1518   806   713   240  1353     5   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94199   94199     -99    0.0     47.7     82.3    102.0      -99     11.3     19.5     24.2      -99      -99      -99      -99      -99   364  28.8  18.0  18.7  12.0  380.0 1723.9  997.8  192.2  805.6     2
        5     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966227 1966229     -99     -99 1967227    1967   -99   79211     -99   19045     -99   -99    -99.     -99   -99.0 0.501   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2466  1471   764   707   241  1109     4   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94186   94186     -99    0.0     53.9     79.8    103.7      -99     13.0     19.2     24.9      -99      -99      -99      -99      -99   364  29.1  18.1  18.7  12.0  380.0 1469.8  992.1  228.2  763.9     2
        6     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967227 1967229     -99     -99 1968227    1968   -99   78243     -99   19993     -99   -99    -99.     -99   -99.0 0.514   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2114  1398   753   646   120   944    11   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94198   94198     -99    0.0     55.3     84.9    104.0      -99     14.1     21.7     26.6      -99      -99      -99      -99      -99   364  28.4  17.6  18.6  12.0  380.0 1414.7  921.2  168.6  752.6     2
        7     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968227 1968230     -99     -99 1969226    1969   -99   77220     -99   18038     -99   -99    -99.     -99   -99.0 0.493   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1815  1387   747   641   112   675     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94204   94204     -99    0.0     68.6     84.6    103.4      -99     16.0     19.8     24.2      -99      -99      -99      -99      -99   363  29.2  18.2  19.8  12.0  380.0 1125.9  912.8  166.3  746.5     2
        8     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969227 1969229     -99     -99 1970227    1970   -99   70881     -99   16644     -99   -99    -99.     -99   -99.0 0.471   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1845  1289   637   651   119   796     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94126   94126     -99    0.0     53.6     84.0    111.2      -99     12.6     19.7     26.1      -99      -99      -99      -99      -99   364  29.2  18.4  18.7  12.0  380.0 1323.6  843.6  206.2  637.5     2
        9     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970227 1970231     -99     -99 1971227    1971   -99   81420     -99   18000     -99   -99    -99.     -99   -99.0 0.487   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1664  1490   851   639    89   443     2   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94145   94145     -99    0.0     83.0     76.2     95.7      -99     18.3     16.8     21.2      -99      -99      -99      -99      -99   362  29.6  18.4  19.6  12.0  380.0  981.1 1069.1  218.1  851.0     2
       10     33  1  1  1 SC SCCAN048 ESRC2501 AGO - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971227 1971230     -99     -99 1972227    1972   -99   79947     -99   18363     -99   -99    -99.     -99   -99.0 0.498   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2071  1488   796   692   126   808     7   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94184   94184     -99    0.0     53.1     78.0    100.4      -99     12.2     17.9     23.1      -99      -99      -99      -99      -99   363  28.6  17.8  18.5  12.0  380.0 1505.7 1024.7  228.6  796.1     2
