*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 18:56:29

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962196 1962199     -99     -99 1963196    1963   -99   79300     -99   16664     -99   -99    -99.     -99   -99.0 0.473   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2553  1465   801   665   232  1214     1   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94322   94322     -99    0.0     50.3     81.9     99.0      -99     10.6     17.2     20.8      -99      -99      -99      -99      -99   363  28.8  17.7  19.0  12.0  380.0 1577.1  968.4  167.5  800.9     2
        2     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963196 1963199     -99     -99 1964196    1964   -99   84755     -99   23563     -99   -99    -99.     -99   -99.0 0.517   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2042  1357   892   465   196   833    14   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94275   94275     -99    0.0     55.9     88.9     95.0      -99     15.6     24.7     26.4      -99      -99      -99      -99      -99   363  29.7  18.6  18.3  12.0  380.0 1515.2  953.7   61.3  892.4     2
        3     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964196 1964199     -99     -99 1965195    1965   -99   80828     -99   19164     -99   -99    -99.     -99   -99.0 0.494   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3002  1462   818   644   263  1617    19   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94350   94350     -99    0.0     46.3     81.7     98.8      -99     11.0     19.4     23.4      -99      -99      -99      -99      -99   363  28.1  17.9  18.1  12.0  380.0 1745.7  989.4  171.5  817.9     2
        4     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965196 1965198     -99     -99 1966196    1966   -99   86990     -99   21231     -99   -99    -99.     -99   -99.0 0.509   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2756  1540   898   642   241  1318    17   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94322   94322     -99    0.0     50.2     84.1     96.9      -99     12.3     20.5     23.7      -99      -99      -99      -99      -99   364  28.8  18.0  18.7  12.0  380.0 1731.8 1034.1  136.5  897.5     2
        5     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966196 1966199     -99     -99 1967196    1967   -99   84516     -99   20881     -99   -99    -99.     -99   -99.0 0.507   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2466  1498   876   622   242  1072    13   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94308   94308     -99    0.0     57.5     82.5     96.5      -99     14.2     20.4     23.8      -99      -99      -99      -99      -99   363  29.1  18.1  18.7  12.0  380.0 1471.1 1024.4  148.3  876.1     2
        6     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967196 1967198     -99     -99 1968196    1968   -99   82732     -99   22279     -99   -99    -99.     -99   -99.0 0.520   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2080  1413   813   600   120   898     8   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94317   94317     -99    0.0     59.9     88.0    101.8      -99     16.1     23.7     27.4      -99      -99      -99      -99      -99   364  28.5  17.7  18.6  12.0  380.0 1380.9  939.9  127.3  812.5     2
        7     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968196 1968200     -99     -99 1969195    1969   -99   81965     -99   19120     -99   -99    -99.     -99   -99.0 0.497   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1813  1423   843   580   113   632     4   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94329   94329     -99    0.0     70.8     83.6     97.2      -99     16.5     19.5     22.7      -99      -99      -99      -99      -99   362  29.0  18.1  19.8  12.0  380.0 1157.9  980.9  137.4  843.5     2
        8     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969196 1969199     -99     -99 1970196    1970   -99   76052     -99   18497     -99   -99    -99.     -99   -99.0 0.479   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1844  1323   741   582   121   758     1   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94249   94249     -99    0.0     57.4     86.1    102.6      -99     14.0     20.9     25.0      -99      -99      -99      -99      -99   363  29.4  18.5  18.8  12.0  380.0 1324.7  883.8  142.5  741.2     2
        9     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970196 1970199     -99     -99 1971196    1971   -99   84098     -99   20980     -99   -99    -99.     -99   -99.0 0.498   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1634  1470   864   607    88   429     7   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94270   94270     -99    0.0     88.3     79.8     97.4      -99     22.0     19.9     24.3      -99      -99      -99      -99      -99   363  29.4  18.3  19.7  12.0  380.0  951.9 1054.2  190.5  863.7     2
       10     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971196 1971199     -99     -99 1972196    1972   -99   84201     -99   19622     -99   -99    -99.     -99   -99.0 0.500   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2062  1474   860   614   127   781    39   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94309   94309     -99    0.0     55.1     81.3     98.0      -99     12.8     19.0     22.8      -99      -99      -99      -99      -99   363  28.6  17.8  18.5  12.0  380.0 1527.1 1035.2  175.6  859.6     2
       11     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35227201  1972 BR05583021          -17.725         -48.172     78.14 1972001 1972196 1972199     -99     -99 1973195    1973   -99   83406     -99   18866     -99   -99    -99.     -99   -99.0 0.481   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2330  1574   935   639   163   938    14   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94256   94256     -99    0.0     51.6     76.3     89.2      -99     11.7     17.3     20.2      -99      -99      -99      -99      -99   363  30.0  18.9  18.9  12.0  380.0 1616.6 1093.4  158.2  935.1     2
       12     25  1  1  1 SC SCCAN048 ESRC2501 JUL - IPAMERI             ESAL0001 35227301  1973 BR05583021          -17.725         -48.172     78.14 1973001 1973196 1973198     -99     -99 1974196    1974   -99   84910     -99   22291     -99   -99    -99.     -99   -99.0 0.517   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2164  1577   887   689   152   763    33   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94262   94262     -99    0.0     61.2     81.4     95.7      -99     16.1     21.4     25.1      -99      -99      -99      -99      -99   364  29.1  18.2  18.2  12.0  380.0 1388.0 1042.7  155.4  887.3     2
