*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 18:49:57

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962166 1962170     -99     -99 1963166    1963   -99   83062     -99   18697     -99   -99    -99.     -99   -99.0 0.481   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2553  1491   863   627   232  1182     7   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94440   94440     -99    0.0     52.6     82.7     96.2      -99     11.8     18.6     21.7      -99      -99      -99      -99      -99   362  28.8  17.7  19.0  12.0  380.0 1579.0 1004.7  141.3  863.5     2
        2     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963166 1963169     -99     -99 1964166    1964   -99   82997     -99   21821     -99   -99    -99.     -99   -99.0 0.507   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2041  1325   882   443   196   816    64   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94394   94394     -99    0.0     54.8     89.7     94.1      -99     14.4     23.6     24.8      -99      -99      -99      -99      -99   363  29.7  18.5  18.2  12.0  380.0 1514.4  925.0   43.5  881.6     2
        3     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964166 1964169     -99     -99 1965165    1965   -99   84480     -99   19847     -99   -99    -99.     -99   -99.0 0.496   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2960  1454   883   571   264  1569    33   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94468   94468     -99    0.0     49.6     85.6     95.7      -99     11.6     20.1     22.5      -99      -99      -99      -99      -99   363  28.1  17.8  18.2  12.0  380.0 1704.5  987.5  104.8  882.6     2
        4     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965166 1965169     -99     -99 1966166    1966   -99   87920     -99   21205     -99   -99    -99.     -99   -99.0 0.502   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2756  1534   944   590   242  1267    73   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94439   94439     -99    0.0     49.6     83.3     93.1      -99     12.0     20.1     22.5      -99      -99      -99      -99      -99   363  28.8  18.0  18.5  12.0  380.0 1773.7 1055.2  111.2  944.1     2
        5     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966166 1966168     -99     -99 1967166    1967   -99   87183     -99   21000     -99   -99    -99.     -99   -99.0 0.496   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2466  1507   949   558   242  1022    54   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94426   94426     -99    0.0     59.3     83.9     91.8      -99     14.3     20.2     22.1      -99      -99      -99      -99      -99   364  29.1  18.1  18.8  12.0  380.0 1471.2 1039.4   90.2  949.2     2
        6     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967166 1967169     -99     -99 1968166    1968   -99   88173     -99   22831     -99   -99    -99.     -99   -99.0 0.520   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2079  1458   913   544   121   835    25   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94434   94434     -99    0.0     63.9     89.0     96.5      -99     16.5     23.0     25.0      -99      -99      -99      -99      -99   363  28.6  17.8  18.6  12.0  380.0 1380.3  991.2   77.8  913.5     2
        7     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968166 1968169     -99     -99 1969165    1969   -99   87373     -99   20786     -99   -99    -99.     -99   -99.0 0.500   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1804  1459   912   546   113   579    12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94449   94449     -99    0.0     76.0     85.5     95.8      -99     18.1     20.4     22.8      -99      -99      -99      -99      -99   363  29.0  17.9  19.7  12.0  380.0 1149.5 1021.3  109.2  912.1     2
        8     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969166 1969168     -99     -99 1970166    1970   -99   81725     -99   19968     -99   -99    -99.     -99   -99.0 0.485   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1844  1375   857   518   121   700     7   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94371   94371     -99    0.0     61.3     86.2     95.4      -99     15.0     21.1     23.3      -99      -99      -99      -99      -99   364  29.4  18.4  18.9  12.0  380.0 1333.6  948.0   91.2  856.8     2
        9     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970166 1970168     -99     -99 1971166    1971   -99   86804     -99   20757     -99   -99    -99.     -99   -99.0 0.481   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1617  1456   919   537    83   429     8   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94388   94388     -99    0.0     92.8     83.1     94.5      -99     22.2     19.9     22.6      -99      -99      -99      -99      -99   364  29.3  18.2  19.6  12.0  380.0  935.3 1044.5  125.7  918.8     2
       10     17  1  1  1 SC SCCAN048 ESRC2501 JUN - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971166 1971168     -99     -99 1972166    1972   -99   87563     -99   20887     -99   -99    -99.     -99   -99.0 0.495   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2029  1471   917   554   128   735    55   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94424   94424     -99    0.0     58.0     83.0     95.5      -99     13.8     19.8     22.8      -99      -99      -99      -99      -99   364  28.6  17.9  18.6  12.0  380.0 1511.0 1055.4  138.7  916.7     2
