*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 18:43:28

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962135 1962138     -99     -99 1963135    1963   -99   87478     -99   19889     -99   -99    -99.     -99   -99.0 0.484   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2553  1527   950   578   232  1132    21   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94563   94563     -99    0.0     54.4     81.7     92.1      -99     12.4     18.6     20.9      -99      -99      -99      -99      -99   363  28.8  17.7  19.0  12.0  380.0 1607.0 1070.3  120.8  949.5     2
        2      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963135 1963137     -99     -99 1964135    1964   -99   76847     -99   17513     -99   -99    -99.     -99   -99.0 0.474   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2033  1252   823   429   195   811   133   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94510   94510     -99    0.0     51.0     89.5     93.3      -99     11.6     20.4     21.3      -99      -99      -99      -99      -99   364  29.8  18.5  18.2  12.0  380.0 1506.0  858.7   35.4  823.4     2
        3      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964135 1964137     -99     -99 1965134    1965   -99   84597     -99   18726     -99   -99    -99.     -99   -99.0 0.475   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2958  1430   897   533   264  1514   109   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94592   94592     -99    0.0     49.5     85.6     94.3      -99     10.9     18.9     20.9      -99      -99      -99      -99      -99   364  27.9  17.6  18.3  12.0  380.0 1710.2  988.4   91.1  897.2     2
        4      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965135 1965137     -99     -99 1966135    1966   -99   87907     -99   20092     -99   -99    -99.     -99   -99.0 0.479   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2737  1522   967   555   242  1204   129   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94550   94550     -99    0.0     50.0     83.5     90.9      -99     11.4     19.1     20.8      -99      -99      -99      -99      -99   364  28.9  18.2  18.5  12.0  380.0 1757.5 1052.6   85.8  966.7     2
        5      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966135 1966137     -99     -99 1967135    1967   -99   88036     -99   20874     -99   -99    -99.     -99   -99.0 0.493   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2462  1481   957   524   242   970   128   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94546   94546     -99    0.0     59.4     84.1     92.0      -99     14.1     19.9     21.8      -99      -99      -99      -99      -99   364  29.0  17.9  18.8  12.0  380.0 1483.3 1046.3   89.3  957.0     2
        6      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967135 1967137     -99     -99 1968135    1968   -99   86911     -99   21240     -99   -99    -99.     -99   -99.0 0.499   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2075  1432   918   514   121   787    94   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94548   94548     -99    0.0     63.0     89.2     94.7      -99     15.4     21.8     23.1      -99      -99      -99      -99      -99   364  28.8  18.0  18.5  12.0  380.0 1380.1  974.7   56.9  917.7     2
        7      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968135 1968138     -99     -99 1969134    1969   -99   89682     -99   20596     -99   -99    -99.     -99   -99.0 0.487   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1803  1475   956   519   112   517    58   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94576   94576     -99    0.0     78.1     85.4     93.8      -99     17.9     19.6     21.5      -99      -99      -99      -99      -99   363  28.8  17.7  19.7  12.0  380.0 1148.5 1050.2   94.2  956.0     2
        8      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969135 1969138     -99     -99 1970135    1970   -99   87830     -99   20773     -99   -99    -99.     -99   -99.0 0.485   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1844  1435   959   476   120   628    20   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94501   94501     -99    0.0     65.8     86.4     91.6      -99     15.6     20.4     21.7      -99      -99      -99      -99      -99   363  29.4  18.4  18.9  12.0  380.0 1334.5 1016.1   57.0  959.1     2
        9      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970135 1970137     -99     -99 1971135    1971   -99   89103     -99   20270     -99   -99    -99.     -99   -99.0 0.474   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1611  1444   967   477    82   429    16   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94513   94513     -99    0.0     95.9     85.8     92.2      -99     21.8     19.5     21.0      -99      -99      -99      -99      -99   364  29.5  18.3  19.7  12.0  380.0  928.7 1038.0   71.5  966.6     2
       10      9  1  1  1 SC SCCAN048 ESRC2501 MAI - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971135 1971137     -99     -99 1972135    1972   -99   87372     -99   19854     -99   -99    -99.     -99   -99.0 0.491   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2001  1449   938   510   127   677   107   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94545   94545     -99    0.0     58.6     83.6     93.1      -99     13.3     19.0     21.2      -99      -99      -99      -99      -99   364  28.5  17.8  18.4  12.0  380.0 1489.8 1044.9  106.4  938.5     2
