*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 19:56:12

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962319 1962321     -99     -99 1963319    1963   -99   58830     -99   11127     -99   -99    -99.     -99   -99.0 0.474   6.1     -99     -99     -99     -99     -99  -99.000     0     0  2618  1472   404  1069   226  1261    17   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93808   93808     -99    0.0     44.0     82.4    145.7      -99      8.3     15.6     27.6      -99      -99      -99      -99      -99   364  29.8  18.3  18.2  12.0  380.0 1337.4  713.8  310.0  403.7     2
        2     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963319 1963321     -99     -99 1964319    1964   -99   65605     -99   14436     -99   -99    -99.     -99   -99.0 0.478   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2401  1397   650   747   209  1006   149   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93792   93792     -99    0.0     36.6     71.0    100.9      -99      8.1     15.6     22.2      -99      -99      -99      -99      -99   364  28.6  18.0  18.9  12.0  380.0 1792.5  923.9  273.7  650.2     2
        3     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964319 1964321     -99     -99 1965318    1965   -99   66934     -99   13660     -99   -99    -99.     -99   -99.0 0.463   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3352  1677   633  1044   275  1629   131   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93862   93862     -99    0.0     38.9     68.9    105.7      -99      7.9     14.1     21.6      -99      -99      -99      -99      -99   364  28.5  18.1  18.1  12.0  380.0 1721.0  971.0  337.9  633.2     2
        4     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965319 1965321     -99     -99 1966319    1966   -99   67254     -99   13596     -99   -99    -99.     -99   -99.0 0.465   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3046  1717   682  1035   238  1376    74   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93834   93834     -99    0.0     40.8     67.8     98.6      -99      8.2     13.7     19.9      -99      -99      -99      -99      -99   364  28.9  17.9  18.7  12.0  380.0 1648.3  991.9  310.1  681.8     2
        5     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966319 1966321     -99     -99 1967319    1967   -99   66750     -99   14002     -99   -99    -99.     -99   -99.0 0.484   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2687  1603   564  1040   242  1106    95   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93807   93807     -99    0.0     48.1     75.6    118.4      -99     10.1     15.9     24.8      -99      -99      -99      -99      -99   364  29.3  18.3  18.6  12.0  380.0 1386.6  883.3  319.7  563.6     2
        6     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967319 1967321     -99     -99 1968319    1968   -99   63041     -99   13188     -99   -99    -99.     -99   -99.0 0.489   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2315  1544   558   985   134   952    45   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93831   93831     -99    0.0     45.3     70.1    112.9      -99      9.5     14.7     23.6      -99      -99      -99      -99      -99   364  28.0  17.3  19.0  12.0  380.0 1391.3  898.7  340.4  558.3     2
        7     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968319 1968321     -99     -99 1969318    1969   -99   64734     -99   12381     -99   -99    -99.     -99   -99.0 0.458   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2200  1483   589   894   141   747   189   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93827   93827     -99    0.0     49.6     73.3    109.8      -99      9.5     14.0     21.0      -99      -99      -99      -99      -99   364  29.6  18.4  19.4  12.0  380.0 1304.6  883.6  294.1  589.5     2
        8     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969319 1969321     -99     -99 1970319    1970   -99   54077     -99    9122     -99   -99    -99.     -99   -99.0 0.417   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2066  1468   516   953   115   806    36   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93757   93757     -99    0.0     46.9     65.5    104.9      -99      7.9     11.0     17.7      -99      -99      -99      -99      -99   364  28.8  18.3  18.7  12.0  380.0 1153.9  826.0  310.3  515.6     2
        9     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970319 1970321     -99     -99 1971319    1971   -99   69732     -99   13152     -99   -99    -99.     -99   -99.0 0.438   6.2     -99     -99     -99     -99     -99  -99.000     0     0  1937  1661   723   938    94   508    33   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93790   93790     -99    0.0     67.5     69.7     96.5      -99     12.7     13.1     18.2      -99      -99      -99      -99      -99   364  29.3  18.1  19.7  12.0  380.0 1032.4 1000.3  277.6  722.7     2
       10     57  1  1  1 SC SCCAN048 ESRC2501 NOV - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971319 1971321     -99     -99 1972319    1972   -99   72228     -99   14000     -99   -99    -99.     -99   -99.0 0.432   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2419  1699   717   982   144   845    90   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93815   93815     -99    0.0     45.7     71.1    100.7      -99      8.9     13.8     19.5      -99      -99      -99      -99      -99   364  29.0  18.1  18.5  12.0  380.0 1580.0 1015.3  298.2  717.1     2
