*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 19:53:51

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962288 1962290     -99     -99 1963288    1963   -99   63083     -99   12120     -99   -99    -99.     -99   -99.0 0.457   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2555  1411   467   945   228  1276     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93940   93940     -99    0.0     44.5     82.2    135.2      -99      8.6     15.8     26.0      -99      -99      -99      -99      -99   364  29.4  18.0  18.6  12.0  380.0 1417.2  767.0  300.4  466.6     2
        2     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963288 1963290     -99     -99 1964288    1964   -99   70879     -99   16553     -99   -99    -99.     -99   -99.0 0.497   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2200  1288   655   633   202   993    76   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93908   93908     -99    0.0     42.4     81.2    108.2      -99      9.9     19.0     25.3      -99      -99      -99      -99      -99   364  29.0  18.3  18.7  12.0  380.0 1671.0  872.5  217.5  655.1     2
        3     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964288 1964290     -99     -99 1965287    1965   -99   67894     -99   13908     -99   -99    -99.     -99   -99.0 0.470   6.3     -99     -99     -99     -99     -99  -99.000     0     0  3187  1525   618   908   265  1652   104   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93979   93979     -99    0.0     38.3     71.7    109.9      -99      7.8     14.7     22.5      -99      -99      -99      -99      -99   364  28.4  18.0  18.0  12.0  380.0 1772.5  946.8  329.0  617.8     2
        4     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965288 1965291     -99     -99 1966288    1966   -99   71121     -99   15275     -99   -99    -99.     -99   -99.0 0.489   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2878  1589   665   924   238  1380    30   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93952   93952     -99    0.0     43.1     73.0    106.9      -99      9.3     15.7     23.0      -99      -99      -99      -99      -99   363  28.9  18.0  18.8  12.0  380.0 1648.5  974.8  309.8  665.0     2
        5     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966288 1966289     -99     -99 1967288    1967   -99   69871     -99   14937     -99   -99    -99.     -99   -99.0 0.484   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2499  1489   589   900   239  1123     7   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93929   93929     -99    0.0     50.6     76.0    118.7      -99     10.8     16.3     25.4      -99      -99      -99      -99      -99   365  29.3  18.3  18.8  12.0  380.0 1381.4  919.1  330.4  588.6     2
        6     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967288 1967290     -99     -99 1968288    1968   -99   67736     -99   13962     -99   -99    -99.     -99   -99.0 0.491   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2133  1404   569   834   117   970     1   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93957   93957     -99    0.0     48.3     76.6    119.0      -99     10.0     15.8     24.5      -99      -99      -99      -99      -99   364  27.8  17.2  18.7  12.0  380.0 1401.2  884.4  315.1  569.3     2
        7     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968288 1968290     -99     -99 1969287    1969   -99   66926     -99   13871     -99   -99    -99.     -99   -99.0 0.470   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1899  1382   597   784   112   737    27   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93948   93948     -99    0.0     56.4     76.0    112.0      -99     11.7     15.8     23.2      -99      -99      -99      -99      -99   364  29.8  18.5  19.7  12.0  380.0 1187.6  880.2  282.7  597.5     2
        8     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969288 1969290     -99     -99 1970288    1970   -99   60145     -99   10442     -99   -99    -99.     -99   -99.0 0.427   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1945  1356   545   811   117   823     8   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93880   93880     -99    0.0     44.9     71.9    110.4      -99      7.8     12.5     19.2      -99      -99      -99      -99      -99   364  28.8  18.2  18.5  12.0  380.0 1339.1  836.1  291.1  545.0     2
        9     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970288 1970290     -99     -99 1971288    1971   -99   69464     -99   13720     -99   -99    -99.     -99   -99.0 0.470   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1804  1553   731   823    91   492    27   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93906   93906     -99    0.0     68.0     68.6     95.1      -99     13.4     13.5     18.8      -99      -99      -99      -99      -99   364  29.3  18.2  19.6  12.0  380.0 1021.0 1013.3  282.7  730.6     2
       10     49  1  1  1 SC SCCAN048 ESRC2501 OUT - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971288 1971290     -99     -99 1972288    1972   -99   70997     -99   15081     -99   -99    -99.     -99   -99.0 0.482   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2247  1575   702   874   131   840    59   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   93939   93939     -99    0.0     46.0     71.1    101.2      -99      9.8     15.1     21.5      -99      -99      -99      -99      -99   364  28.8  17.9  18.6  12.0  380.0 1541.8  998.2  296.7  701.5     2
