*SUMMARY : ESRC2501SN ANALISE ENOS - REGIAO CENTRO                                 DSSAT Cropping System Model Ver. 4.8.2.015          -    MAR 31, 2025; 19:51:36

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226201  1962 BR05583021          -17.725         -48.172     78.14 1962001 1962258 1962261     -99     -99 1963258    1963   -99   70089     -99   14362     -99   -99    -99.     -99   -99.0 0.463   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2553  1410   579   831   229  1273     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94067   94067     -99    0.0     46.1     82.3    121.1      -99      9.4     16.9     24.8      -99      -99      -99      -99      -99   363  29.1  17.8  18.9  12.0  380.0 1520.1  851.8  272.8  579.0     2
        2     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226301  1963 BR05583021          -17.725         -48.172     78.14 1963001 1963258 1963259     -99     -99 1964258    1964   -99   75664     -99   19437     -99   -99    -99.     -99   -99.0 0.507   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2052  1269   696   572   197   946     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94026   94026     -99    0.0     49.6     88.2    108.7      -99     12.7     22.7     27.9      -99      -99      -99      -99      -99   365  29.3  18.5  18.4  12.0  380.0 1525.4  857.6  161.2  696.3     2
        3     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226401  1964 BR05583021          -17.725         -48.172     78.14 1964001 1964258 1964260     -99     -99 1965257    1965   -99   73029     -99   15857     -99   -99    -99.     -99   -99.0 0.481   6.3     -99     -99     -99     -99     -99  -99.000     0     0  3012  1449   665   785   261  1660     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94100   94100     -99    0.0     41.9     76.2    109.9      -99      9.1     16.5     23.9      -99      -99      -99      -99      -99   364  28.3  18.0  18.1  12.0  380.0 1745.0  958.7  294.1  664.6     2
        4     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226501  1965 BR05583021          -17.725         -48.172     78.14 1965001 1965258 1965260     -99     -99 1966258    1966   -99   76986     -99   17310     -99   -99    -99.     -99   -99.0 0.497   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2761  1498   701   797   238  1382     2   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94071   94071     -99    0.0     44.6     79.4    109.8      -99     10.0     17.8     24.7      -99      -99      -99      -99      -99   364  28.8  18.0  18.6  12.0  380.0 1727.2  969.9  268.5  701.3     2
        5     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226601  1966 BR05583021          -17.725         -48.172     78.14 1966001 1966258 1966260     -99     -99 1967258    1967   -99   75270     -99   16809     -99   -99    -99.     -99   -99.0 0.493   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2479  1475   694   780   240  1122     1   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94055   94055     -99    0.0     50.9     76.0    108.4      -99     11.4     17.0     24.2      -99      -99      -99      -99      -99   364  29.1  18.1  18.7  12.0  380.0 1478.8  990.0  295.7  694.3     2
        6     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226701  1967 BR05583021          -17.725         -48.172     78.14 1967001 1967258 1967260     -99     -99 1968258    1968   -99   74080     -99   17236     -99   -99    -99.     -99   -99.0 0.505   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2121  1404   684   719   119   958     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94079   94079     -99    0.0     52.9     81.5    108.3      -99     12.3     19.0     25.2      -99      -99      -99      -99      -99   364  28.0  17.3  18.6  12.0  380.0 1401.6  908.9  224.6  684.3     2
        7     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226801  1968 BR05583021          -17.725         -48.172     78.14 1968001 1968258 1968260     -99     -99 1969257    1969   -99   73165     -99   16094     -99   -99    -99.     -99   -99.0 0.488   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1815  1351   668   682   111   712     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94072   94072     -99    0.0     65.4     85.1    109.5      -99     14.4     18.7     24.1      -99      -99      -99      -99      -99   364  29.7  18.5  19.8  12.0  380.0 1118.3  860.1  191.6  668.5     2
        8     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35226901  1969 BR05583021          -17.725         -48.172     78.14 1969001 1969258 1969260     -99     -99 1970258    1970   -99   68127     -99   13724     -99   -99    -99.     -99   -99.0 0.453   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1874  1286   583   703   118   822     7   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94002   94002     -99    0.0     50.4     81.5    116.9      -99     10.1     16.4     23.6      -99      -99      -99      -99      -99   364  28.9  18.3  18.5  12.0  380.0 1352.4  836.2  253.4  582.7     2
        9     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227001  1970 BR05583021          -17.725         -48.172     78.14 1970001 1970258 1970260     -99     -99 1971258    1971   -99   75271     -99   15381     -99   -99    -99.     -99   -99.0 0.477   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1722  1490   765   725    91   460    40   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94023   94023     -99    0.0     75.2     72.2     98.4      -99     15.4     14.7     20.1      -99      -99      -99      -99      -99   364  29.5  18.2  19.8  12.0  380.0 1000.3 1042.9  278.0  764.8     2
       10     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227101  1971 BR05583021          -17.725         -48.172     78.14 1971001 1971258 1971261     -99     -99 1972258    1972   -99   75656     -99   17062     -99   -99    -99.     -99   -99.0 0.491   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2132  1500   722   778   126   827    38   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94060   94060     -99    0.0     50.1     75.3    104.8      -99     11.3     17.0     23.6      -99      -99      -99      -99      -99   363  28.7  17.9  18.5  12.0  380.0 1509.5 1004.9  282.9  722.0     2
       11     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227201  1972 BR05583021          -17.725         -48.172     78.14 1972001 1972258 1972260     -99     -99 1973257    1973   -99   74015     -99   15822     -99   -99    -99.     -99   -99.0 0.468   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2346  1532   750   782   161  1013     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94005   94005     -99    0.0     47.4     74.8     98.7      -99     10.1     16.0     21.1      -99      -99      -99      -99      -99   364  30.1  18.8  18.8  12.0  380.0 1562.4  989.6  239.5  750.1     2
       12     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227301  1973 BR05583021          -17.725         -48.172     78.14 1973001 1973258 1973260     -99     -99 1974258    1974   -99   76701     -99   17744     -99   -99    -99.     -99   -99.0 0.506   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2206  1608   769   839   153   800     5   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94014   94014     -99    0.0     54.3     73.2     99.7      -99     12.6     16.9     23.1      -99      -99      -99      -99      -99   364  29.1  18.2  18.4  12.0  380.0 1413.4 1047.5  278.5  769.0     2
       13     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227401  1974 BR05583021          -17.725         -48.172     78.14 1974001 1974258 1974260     -99     -99 1975258    1975   -99   75090     -99   16684     -99   -99    -99.     -99   -99.0 0.490   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2011  1428   698   730   155   787     0   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94035   94035     -99    0.0     61.9     82.2    107.6      -99     13.8     18.3     23.9      -99      -99      -99      -99      -99   364  29.5  17.9  19.5  12.0  380.0 1212.3  913.9  215.8  698.1     2
       14     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227501  1975 BR05583021          -17.725         -48.172     78.14 1975001 1975258 1975260     -99     -99 1976258    1976   -99   76010     -99   18031     -99   -99    -99.     -99   -99.0 0.501   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1771  1451   713   737   101   555    23   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94044   94044     -99    0.0     63.8     78.2    106.5      -99     15.1     18.5     25.3      -99      -99      -99      -99      -99   364  29.3  18.0  18.2  12.0  380.0 1190.5  972.5  259.0  713.5     2
       15     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227601  1976 BR05583021          -17.725         -48.172     78.14 1976001 1976258 1976261     -99     -99 1977257    1977   -99   70145     -99   15390     -99   -99    -99.     -99   -99.0 0.486   6.3     -99     -99     -99     -99     -99  -99.000     0     0  1971  1434   626   809   104   791     1   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94063   94063     -99    0.0     52.1     75.1    112.1      -99     11.4     16.5     24.6      -99      -99      -99      -99      -99   363  29.1  16.8  18.0  12.0  380.0 1346.8  933.5  308.0  625.5     2
       16     41  1  1  1 SC SCCAN048 ESRC2501 SET - IPAMERI             ESAL0001 35227701  1977 BR05583021          -17.725         -48.172     78.14 1977001 1977258 1977260     -99     -99 1978258    1978   -99   72793     -99   16656     -99   -99    -99.     -99   -99.0 0.498   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2042  1331   702   629   243   826     1   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0   94101   94101     -99    0.0     49.1     77.7    103.8      -99     11.2     17.8     23.7      -99      -99      -99      -99      -99   364  29.1  16.8  17.7  12.0  380.0 1482.2  936.5  234.9  701.6     2
