*SUMMARY : ESRN2501SN ANALISE ENOS - REGIAO NORTE                                  DSSAT Cropping System Model Ver. 4.8.2.015          -    APR 02, 2025; 11:00:03

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046201  1962 BR05315091          -12.555         -55.723     79.31 1962001 1962105 1962107     -99     -99 1963105    1963   -99   82967     -99   15931     -99   -99    -99.     -99   -99.0 0.417   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2804  1578   992   586   406   804   222   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108257  108257     -99    1.9     45.4     74.4     83.6      -99      8.7     14.3     16.1      -99      -99      -99      -99      -99   364  31.7  17.9  18.1  12.0  380.0 1826.2 1114.7  122.8  992.0     2
        2      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046301  1963 BR05315091          -12.555         -55.723     79.31 1963001 1963105 1963107     -99     -99 1964105    1964   -99   77269     -99   13923     -99   -99    -99.     -99   -99.0 0.403   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2164  1443   894   548   250   445   233   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108249  108249     -99    1.5     55.2     76.0     86.4      -99      9.9     13.7     15.6      -99      -99      -99      -99      -99   364  32.6  17.6  18.7  12.0  380.0 1399.3 1016.4  122.0  894.4     2
        3      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046401  1964 BR05315091          -12.555         -55.723     79.31 1964001 1964105 1964107     -99     -99 1965104    1965   -99   82612     -99   16696     -99   -99    -99.     -99   -99.0 0.436   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2660  1561   964   597   282   770   253   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108263  108263     -99    2.7     45.8     75.9     85.7      -99      9.3     15.3     17.3      -99      -99      -99      -99      -99   364  31.8  17.6  18.3  12.0  380.0 1803.0 1088.7  125.0  963.6     2
        4      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046501  1965 BR05315091          -12.555         -55.723     79.31 1965001 1965105 1965107     -99     -99 1966105    1966   -99   85284     -99   17352     -99   -99    -99.     -99   -99.0 0.425   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2829  1593  1016   577   390   884   169   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108235  108235     -99    2.5     45.2     74.8     84.0      -99      9.2     15.2     17.1      -99      -99      -99      -99      -99   364  32.7  17.9  18.7  12.0  380.0 1887.1 1140.7  125.0 1015.6     2
        5      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046601  1966 BR05315091          -12.555         -55.723     79.31 1966001 1966105 1966107     -99     -99 1967105    1967   -99   81153     -99   15336     -99   -99    -99.     -99   -99.0 0.409   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2245  1550   973   577   252   409   239   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108220  108220     -99    1.1     56.6     72.0     83.4      -99     10.7     13.6     15.8      -99      -99      -99      -99      -99   364  32.2  18.8  18.9  12.0  380.0 1432.9 1127.0  154.0  973.0     2
        6      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046701  1967 BR05315091          -12.555         -55.723     79.31 1967001 1967105 1967107     -99     -99 1968105    1968   -99   82707     -99   17054     -99   -99    -99.     -99   -99.0 0.432   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2321  1561   964   597   273   487   207   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108225  108225     -99    1.5     53.8     75.1     85.8      -99     11.1     15.5     17.7      -99      -99      -99      -99      -99   364  31.9  18.9  19.3  12.0  380.0 1537.5 1100.7  136.6  964.1     2
        7      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046801  1968 BR05315091          -12.555         -55.723     79.31 1968001 1968105 1968107     -99     -99 1969104    1969   -99   86534     -99   15930     -99   -99    -99.     -99   -99.0 0.393   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2618  1622  1057   565   314   646   242   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108250  108250     -99    1.7     53.0     72.7     81.9      -99      9.8     13.4     15.1      -99      -99      -99      -99      -99   364  31.6  18.7  19.3  12.0  380.0 1632.3 1190.6  133.7 1056.9     2
        8      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9046901  1969 BR05315091          -12.555         -55.723     79.31 1969001 1969105 1969106     -99     -99 1970105    1970   -99   82506     -99   15905     -99   -99    -99.     -99   -99.0 0.402   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2375  1571   998   573   259   534   218   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108194  108194     -99    1.9     50.7     75.2     82.7      -99      9.8     14.5     15.9      -99      -99      -99      -99      -99   365  32.0  19.6  18.9  12.0  380.0 1627.4 1097.5   99.4  998.1     2
        9      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9047001  1970 BR05315091          -12.555         -55.723     79.31 1970001 1970105 1970107     -99     -99 1971105    1971   -99   84364     -99   17193     -99   -99    -99.     -99   -99.0 0.429   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2496  1560  1002   558   243   660   239   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108214  108214     -99    1.7     53.9     74.7     84.2      -99     11.0     15.2     17.2      -99      -99      -99      -99      -99   364  32.2  18.8  19.1  12.0  380.0 1564.6 1129.9  127.9 1002.0     2
       10      1  1  1  1 SC SCCAN048 ESRN2501 ABR - SORRISO             ESAL0001 A9047101  1971 BR05315091          -12.555         -55.723     79.31 1971001 1971105 1971107     -99     -99 1972105    1972   -99   83043     -99   16864     -99   -99    -99.     -99   -99.0 0.426   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2644  1657   992   665   235   726   233   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  108266  108266     -99    2.8     45.9     70.9     83.7      -99      9.3     14.4     17.0      -99      -99      -99      -99      -99   364  31.1  18.4  17.6  12.0  380.0 1808.2 1171.1  179.1  992.0     2
