*SUMMARY : ESRN2501SN ANALISE ENOS - REGIAO NORTE                                  DSSAT Cropping System Model Ver. 4.8.2.015          -    APR 02, 2025; 11:09:57

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046201  1962 BR05315091          -12.555         -55.723     79.31 1962001 1962196 1962199     -99     -99 1963196    1963   -99   84815     -99   22278     -99   -99    -99.     -99   -99.0 0.519   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2908  1678   944   733   418   983    35   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107892  107892     -99    6.3     44.8     75.6     89.8      -99     11.8     19.9     23.6      -99      -99      -99      -99      -99   363  31.8  17.9  18.3  12.0  380.0 1893.0 1121.9  177.5  944.4     2
        2     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046301  1963 BR05315091          -12.555         -55.723     79.31 1963001 1963196 1963198     -99     -99 1964196    1964   -99   85034     -99   22817     -99   -99    -99.     -99   -99.0 0.512   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2247  1604   964   640   261   552    35   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107871  107871     -99    6.4     61.7     79.3     88.2      -99     16.6     21.3     23.7      -99      -99      -99      -99      -99   364  32.6  17.9  18.8  12.0  380.0 1378.0 1072.7  108.3  964.4     2
        3     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046401  1964 BR05315091          -12.555         -55.723     79.31 1964001 1964196 1964198     -99     -99 1965195    1965   -99   82499     -99   21338     -99   -99    -99.     -99   -99.0 0.496   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2828  1652   919   733   304  1040    38   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107883  107883     -99    7.8     43.6     76.9     89.8      -99     11.3     19.9     23.2      -99      -99      -99      -99      -99   364  32.0  17.8  18.2  12.0  380.0 1890.5 1073.2  154.5  918.7     2
        4     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046501  1965 BR05315091          -12.555         -55.723     79.31 1965001 1965196 1965198     -99     -99 1966196    1966   -99   85392     -99   21856     -99   -99    -99.     -99   -99.0 0.492   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3027  1686   963   723   419  1066    62   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107858  107858     -99    6.9     44.2     75.8     88.7      -99     11.3     19.4     22.7      -99      -99      -99      -99      -99   364  32.8  17.8  18.8  12.0  380.0 1932.4 1125.8  163.3  962.5     2
        5     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046601  1966 BR05315091          -12.555         -55.723     79.31 1966001 1966196 1966199     -99     -99 1967196    1967   -99   85846     -99   21796     -99   -99    -99.     -99   -99.0 0.495   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2376  1723  1012   711   271   555    34   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107831  107831     -99    6.2     62.8     74.2     84.8      -99     15.9     18.8     21.5      -99      -99      -99      -99      -99   363  32.0  19.0  19.1  12.0  380.0 1367.9 1156.3  144.4 1011.9     2
        6     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046701  1967 BR05315091          -12.555         -55.723     79.31 1967001 1967196 1967198     -99     -99 1968196    1968   -99   90032     -99   23358     -99   -99    -99.     -99   -99.0 0.510   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2494  1725  1038   687   315   621    39   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107856  107856     -99    6.1     56.4     79.4     86.7      -99     14.6     20.6     22.5      -99      -99      -99      -99      -99   364  31.7  18.6  19.3  12.0  380.0 1595.8 1133.3   95.1 1038.3     2
        7     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046801  1968 BR05315091          -12.555         -55.723     79.31 1968001 1968196 1968199     -99     -99 1969195    1969   -99   85055     -99   19663     -99   -99    -99.     -99   -99.0 0.464   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2685  1742  1012   730   326   793    29   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107854  107854     -99    7.8     55.3     71.0     84.0      -99     12.8     16.4     19.4      -99      -99      -99      -99      -99   363  31.7  19.5  19.3  12.0  380.0 1538.3 1198.1  185.8 1012.3     2
        8     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9046901  1969 BR05315091          -12.555         -55.723     79.31 1969001 1969196 1969198     -99     -99 1970196    1970   -99   84819     -99   21513     -99   -99    -99.     -99   -99.0 0.483   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2504  1698  1000   699   274   689    48   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107802  107802     -99    7.7     50.2     74.6     84.9      -99     12.7     18.9     21.5      -99      -99      -99      -99      -99   364  32.0  19.6  18.9  12.0  380.0 1691.0 1136.6  137.1  999.5     2
        9     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9047001  1970 BR05315091          -12.555         -55.723     79.31 1970001 1970196 1970198     -99     -99 1971196    1971   -99   83529     -99   21280     -99   -99    -99.     -99   -99.0 0.493   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2671  1645   972   673   263   861   108   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107852  107852     -99    7.9     51.8     75.6     85.9      -99     13.2     19.3     21.9      -99      -99      -99      -99      -99   364  31.8  18.4  18.7  12.0  380.0 1611.4 1104.4  132.2  972.2     2
       10     25  1  1  1 SC SCCAN048 ESRN2501 JUL - SORRISO             ESAL0001 A9047101  1971 BR05315091          -12.555         -55.723     79.31 1971001 1971196 1971199     -99     -99 1972196    1972   -99   82080     -99   18167     -99   -99    -99.     -99   -99.0 0.457   6.3     -99     -99     -99     -99     -99  -99.000     0     0  2708  1765   972   793   237   876    35   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107879  107879     -99    7.2     48.3     72.0     84.4      -99     10.7     15.9     18.7      -99      -99      -99      -99      -99   363  31.6  18.8  18.0  12.0  380.0 1700.6 1139.5  167.0  972.5     2
