*SUMMARY : ESRN2501SN ANALISE ENOS - REGIAO NORTE                                  DSSAT Cropping System Model Ver. 4.8.2.015          -    APR 02, 2025; 11:27:00

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............................................................. DATES..................................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................   FRESH WEIGHT..................................  WATER...............................................  NITROGEN..................................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER.................................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............STATUS
@   RUNNO   TRNO R# O# P# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... WYEAR SOIL_ID...             XLAT            LONG      ELEV    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT   HYEAR  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX   FCWAM   FHWAM   HWAHF   FBWAH   FPWAM    EYLDH  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM NMINC  CNAM  GNAM N2OEM  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EM  CH4EM    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP  CRST
        1     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046201  1962 BR05315091          -12.555         -55.723     79.31 1962001 1962319 1962320     -99     -99 1963319    1963   -99   70926     -99   16672     -99   -99    -99.     -99   -99.0 0.502   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3059  1764   655  1109   415  1043    43   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107375  107375     -99    6.4     44.6     76.5    108.3      -99     10.5     18.0     25.5      -99      -99      -99      -99      -99   365  32.3  17.5  18.3  12.0  380.0 1589.8  927.0  272.0  655.0     2
        2     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046301  1963 BR05315091          -12.555         -55.723     79.31 1963001 1963319 1963321     -99     -99 1964319    1964   -99   68447     -99   15888     -99   -99    -99.     -99   -99.0 0.495   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2662  1710   758   952   298   680   180   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107359  107359     -99    7.7     42.8     65.9     90.2      -99      9.9     15.3     20.9      -99      -99      -99      -99      -99   364  32.2  17.9  18.6  12.0  380.0 1600.9 1038.9  280.4  758.4     2
        3     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046401  1964 BR05315091          -12.555         -55.723     79.31 1964001 1964319 1964321     -99     -99 1965318    1965   -99   67511     -99   13837     -99   -99    -99.     -99   -99.0 0.451   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3308  1887   758  1129   376  1064   188   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107366  107366     -99    7.7     34.5     63.2     89.1      -99      7.1     13.0     18.3      -99      -99      -99      -99      -99   364  32.1  17.9  18.4  12.0  380.0 1955.1 1067.6  309.7  757.9     2
        4     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046501  1965 BR05315091          -12.555         -55.723     79.31 1965001 1965319 1965321     -99     -99 1966319    1966   -99   70149     -99   15843     -99   -99    -99.     -99   -99.0 0.481   6.2     -99     -99     -99     -99     -99  -99.000     0     0  3279  1921   798  1123   425  1094    45   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107340  107340     -99    7.2     42.1     63.3     87.9      -99      9.5     14.3     19.9      -99      -99      -99      -99      -99   364  32.6  18.3  18.9  12.0  380.0 1668.2 1108.9  310.9  798.1     2
        5     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046601  1966 BR05315091          -12.555         -55.723     79.31 1966001 1966319 1966321     -99     -99 1967319    1967   -99   69628     -99   15272     -99   -99    -99.     -99   -99.0 0.468   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2599  1804   733  1071   280   665    55   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107301  107301     -99    7.7     52.4     69.8     95.0      -99     11.5     15.3     20.8      -99      -99      -99      -99      -99   364  32.2  19.3  19.1  12.0  380.0 1328.0  997.0  264.5  732.5     2
        6     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046701  1967 BR05315091          -12.555         -55.723     79.31 1967001 1967319 1967321     -99     -99 1968319    1968   -99   76476     -99   16333     -99   -99    -99.     -99   -99.0 0.449   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2815  1881   833  1048   325   777    38   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107335  107335     -99    8.3     45.2     68.2     91.9      -99      9.7     14.6     19.6      -99      -99      -99      -99      -99   364  31.4  18.4  19.5  12.0  380.0 1691.6 1120.5  288.0  832.6     2
        7     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046801  1968 BR05315091          -12.555         -55.723     79.31 1968001 1968319 1968321     -99     -99 1969318    1969   -99   66200     -99   13153     -99   -99    -99.     -99   -99.0 0.436   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2960  1888   758  1131   335   871    72   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107326  107326     -99    8.2     44.6     61.7     87.4      -99      8.9     12.3     17.4      -99      -99      -99      -99      -99   364  31.9  19.6  19.0  12.0  380.0 1485.0 1073.7  316.1  757.5     2
        8     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9046901  1969 BR05315091          -12.555         -55.723     79.31 1969001 1969319 1969320     -99     -99 1970319    1970   -99   67540     -99   14372     -99   -99    -99.     -99   -99.0 0.457   6.2     -99     -99     -99     -99     -99  -99.000     0     0  2784  1877   797  1080   285   763    65   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107278  107278     -99    8.3     39.8     60.9     84.7      -99      8.5     13.0     18.0      -99      -99      -99      -99      -99   365  32.1  19.3  19.0  12.0  380.0 1696.4 1109.7  312.3  797.4     2
        9     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9047001  1970 BR05315091          -12.555         -55.723     79.31 1970001 1970319 1970320     -99     -99 1971319    1971   -99   76593     -99   14976     -99   -99    -99.     -99   -99.0 0.419   6.3     -99     -99     -99     -99     -99  -99.000     0     0  3132  1923   860  1063   306   936   173   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107343  107343     -99    8.5     42.7     65.6     89.1      -99      8.4     12.8     17.4      -99      -99      -99      -99      -99   365  31.4  18.2  18.0  12.0  380.0 1791.8 1168.2  308.6  859.6     2
       10     57  1  1  1 SC SCCAN048 ESRN2501 NOV - SORRISO             ESAL0001 A9047101  1971 BR05315091          -12.555         -55.723     79.31 1971001 1971319 1971320     -99     -99 1972319    1972   -99   69296     -99   13386     -99   -99    -99.     -99   -99.0 0.408   6.3     -99     -99     -99     -99     -99  -99.000     0     0  3121  2031   789  1242   270   898   127   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99     0      0      0      0      0  107354  107354     -99    7.4     41.9     63.5     87.8      -99      8.1     12.3     17.0      -99      -99      -99      -99      -99   365  31.8  18.9  18.3  12.0  380.0 1652.4 1091.4  302.5  788.9     2
