Nome: CAMPO GRANDE
Codigo Estacao: A702
Latitude: -20.44722221
Longitude: -54.72249999
Altitude: 528.47
Situacao: Operante
Data Inicial: 2001-09-09
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2001-09-09;null;null;null;
2001-09-10;null;null;null;
2001-09-11;null;null;null;
2001-09-12;null;31.9;15.9;
2001-09-13;0;32.9;21.3;
2001-09-14;15.4;30;19.1;
2001-09-15;.4;25.4;17.2;
2001-09-16;0;21.5;12.4;
2001-09-17;0;23;7;
2001-09-18;0;27.3;11.9;
2001-09-19;0;32.1;16.4;
2001-09-20;0;34.4;21.1;
2001-09-21;0;27.3;21;
2001-09-22;32.8;28.6;16.4;
2001-09-23;0;32.2;18.9;
2001-09-24;0;33.5;22.4;
2001-09-25;18.4;27.4;17.7;
2001-09-26;66.8;21.3;17.6;
2001-09-27;35.2;28.2;17.4;
2001-09-28;0;32.6;21.3;
2001-09-29;0;33.8;21.5;
2001-09-30;0;31.6;23.6;
2001-10-01;0;31.1;23.1;
2001-10-02;26.6;25.7;15.8;
2001-10-03;1.4;27.9;12.8;
2001-10-04;.2;30.9;15.9;
2001-10-05;.4;24.2;19.2;
2001-10-06;8;31.3;18.2;
2001-10-07;0;31.6;23.3;
2001-10-08;0;29.5;23.8;
2001-10-09;0;28.8;19.3;
2001-10-10;0;28.4;20;
2001-10-11;2;31.4;20.1;
2001-10-12;.8;32.7;18.7;
2001-10-13;0;32.5;21.4;
2001-10-14;3.2;25.7;19.7;
2001-10-15;.2;30.6;18.2;
2001-10-16;0;30.1;19.5;
2001-10-17;10.6;29.8;20.4;
2001-10-18;.4;31.8;19.6;
2001-10-19;3.4;27.7;18.5;
2001-10-20;0;29.2;18.8;
2001-10-21;40.4;25.6;17.3;
2001-10-22;2.4;28.1;16.8;
2001-10-23;0;30.7;15.8;
2001-10-24;0;32.7;20.3;
2001-10-25;0;34.1;22;
2001-10-26;0;35;21.5;
2001-10-27;0;33.5;23.2;
2001-10-28;0;34.2;22.8;
2001-10-29;0;32.5;22.7;
2001-10-30;0;25.1;20.9;
2001-10-31;0;30.7;19.6;
2001-11-01;0;32.6;19.9;
2001-11-02;0;32.4;20.4;
2001-11-03;20.8;22.6;18.6;
2001-11-04;8.6;23.3;18.8;
2001-11-05;1.6;29.7;17.4;
2001-11-06;0;32;21.6;
2001-11-07;0;32.9;22.8;
2001-11-08;.2;28.4;20.9;
2001-11-09;0;31.7;19.8;
2001-11-10;2.8;32.3;21.3;
2001-11-11;0;29.1;23.8;
2001-11-12;40;27.3;18.8;
2001-11-13;51.8;22.5;19.1;
2001-11-14;null;30.4;18.6;
2001-11-15;31;27.6;18.9;
2001-11-16;0;29.3;21.5;
2001-11-17;0;31.4;20.8;
2001-11-18;1.2;31.9;21.5;
2001-11-19;1.6;31.6;21;
2001-11-20;3.6;32.5;19.4;
2001-11-21;null;33.1;21.4;
2001-11-22;38.6;31.7;20;
2001-11-23;0;32.2;21.8;
2001-11-24;null;31.5;23.3;
2001-11-25;1.6;33.8;21.5;
2001-11-26;0;33.1;21.6;
2001-11-27;17;30.6;21.1;
2001-11-28;11.8;29;20.9;
2001-11-29;null;29.6;21.8;
2001-11-30;42.6;27.1;20.3;
2001-12-01;0;26.3;12.4;
2001-12-02;0;30.2;13.9;
2001-12-03;0;29.9;18.9;
2001-12-04;0;26;22.3;
2001-12-05;27.6;24.1;18.9;
2001-12-06;0;29.4;20;
2001-12-07;null;31.9;20.7;
2001-12-08;0;32.1;21.4;
2001-12-09;1.2;29.1;20.4;
2001-12-10;null;30.6;21.1;
2001-12-11;31;24;20.4;
2001-12-12;33.2;27.7;20.2;
2001-12-13;1.4;27.5;21.4;
2001-12-14;4.4;29.1;21.2;
2001-12-15;.2;30.3;20.5;
2001-12-16;11;30.4;19.9;
2001-12-17;0;30.9;20.3;
2001-12-18;0;30.8;18.4;
2001-12-19;0;32;19.4;
2001-12-20;0;31.8;21.8;
2001-12-21;.8;31;22.3;
2001-12-22;22.2;26.8;19.8;
2001-12-23;7;29.3;19.1;
2001-12-24;0;31.5;19;
2001-12-25;0;31.8;20.8;
2001-12-26;0;30.9;22.6;
2001-12-27;5;29.9;20.8;
2001-12-28;30;26.1;19.7;
2001-12-29;1;30.6;20.7;
2001-12-30;.2;29.7;22;
2001-12-31;33.4;25.6;20.9;
2002-01-01;1.8;30.7;20.7;
2002-01-02;0;31.4;20.7;
2002-01-03;0;31.7;19.3;
2002-01-04;0;32.8;19.9;
2002-01-05;0;32.2;19.3;
2002-01-06;0;31.1;21.1;
2002-01-07;1;31.6;21.1;
2002-01-08;0;33.3;21;
2002-01-09;0;32.6;20.4;
2002-01-10;0;28.5;22.2;
2002-01-11;null;null;20.1;
2002-01-12;null;27;20.8;
2002-01-13;25;30.3;21.3;
2002-01-14;3.2;29.5;22.4;
2002-01-15;16.6;30.9;20;
2002-01-16;0;30.5;19.5;
2002-01-17;0;30.7;18;
2002-01-18;0;30.5;18.3;
2002-01-19;0;32.5;15.7;
2002-01-20;0;32.9;22.4;
2002-01-21;.4;30.4;21.7;
2002-01-22;null;30.1;22.8;
2002-01-23;22.2;31.7;20.1;
2002-01-24;0;32.1;21.3;
2002-01-25;0;33;22.9;
2002-01-26;0;33.1;23.1;
